school_zone,public_school_enrollment,private,total
1,3470.1880965367786,8147.7264732185258,11617.914569755303
2,738.40730378265357,770.85709622761397,1509.2644000102675
3,2500.5281637867206,2551.4081406520145,5051.9363044387355
4,2320.7888912159119,526.46126093165503,2847.250152147567
5,99.484331733011913,4008.21467023686,4107.6990019698715
6,82.470280536473808,933.34027798409886,1015.8105585205726
7,2890.2657131981559,1919.8865758323911,4810.152289030547
8,971.6558019156206,3791.0465947551797,4762.7023966708
9,3462.338761311943,3599.2055393516803,7061.544300663623
10,1931.4273488966653,4206.9260202901714,6138.353369186837
11,1152.0858536580915,253.67738162630891,1405.7632352844005
12,2413.1115184400078,332.52131168957692,2745.632830129585
13,557.98270972956175,0,557.9827097295617
14,2670.6461304019194,855.35555288084947,3526.0016832827687
15,103.47749997147781,436.76952284573406,540.2470228172119
16,3765.4605994925555,0,3765.460599492555
17,287.52173425499564,205.56379723104689,493.08553148604256
18,2142.7314214605922,1746.327201366885,3889.058622827477
19,2356.7576889052257,4979.1060897039752,7335.8637786092
20,1716.0130356827863,660.0858757950474,2376.0989114778336
21,2409.1406431321329,912.53731819982818,3321.6779613319613
22,1110.2056304606151,1474.1523369221422,2584.357967382757
23,414.01826404733657,30042.375733183148,30456.393997230483
24,1833.1139953746365,39035.644155424285,40868.75815079892
25,754.41246209396479,1372.296946612953,2126.7094087069177
26,2096.5183243056813,8300.8646577530471,10397.382982058729
27,904.16390042160026,13819.130590720826,14723.294491142426
28,452.84764706768283,10365.296893766852,10818.144540834535
29,422.31984845002597,7048.0729906264696,7470.392839076496
30,311.6654437356068,2801.8192278428223,3113.4846715784292
31,1868.3410262079431,28046.797467665223,29915.138493873164
32,392.05575686628174,12797.405419694203,13189.461176560486
33,0,852.78505621116199,852.7850562111619
34,0,4586.9919802873374,4586.991980287337
35,4100.0729943887281,1519.8833140489751,5619.956308437703
36,800.35473614871148,6577.6085914740497,7377.963327622761
37,763.49548347467226,79.9219938362573,843.4174773109296
38,1114.2339287032323,26.105263157894701,1140.3391918611271
39,2048.4572585776191,324.85156147254202,2373.308820050161
40,2010.2638287551738,2394.6305317572132,4404.894360512387
41,2075.1095069153998,4068.9882460073763,6144.097752922777
42,0,226.41918595437687,226.41918595437687
43,3322.8338650619426,16684.617216764942,20007.451081826883
44,459.01278958308069,1666.472512632238,2125.485302215319
45,4538.3622686200179,8421.22230332049,12959.584571940508
46,6799.1829054538357,2348.7490111357893,9147.931916589623
47,632.85562489148811,3346.2034572390994,3979.059082130588
48,1571.9683136273838,2150.1001593331471,3722.0684729605314
49,504.20613086779201,4104.8978239298203,4609.1039547976125
50,1329.043373363347,148.346269612936,1477.3896429762833
51,1460.083572780947,1736.1772584206819,3196.260831201629
52,394.297234785645,1795.8171191948438,2190.114353980489
53,477.93109289247963,6026.8885826100168,6504.8196755024965
54,1325.3865066046305,1865.1463129283072,3190.5328195329375
55,1949.4686952441482,17404.27091354708,19353.739608791228
56,1515.3687658689998,10766.343901571876,12281.712667440876
57,1554.550027625407,4334.4617155142896,5889.011743139697
