residence_zone,total_income,mean_family_income,per_capita_income,median_family_income
374,88573357.37298763,4151.35720720789,1437.3891591014044,3797.12697292281
375,,,,
376,88661057.90091978,3597.8191738392125,1223.0629719678277,3300.5318023826912
377,74718179.1071799,4502.993979821603,1567.5032854423346,4100
378,220318762.536514,3270.3770712580676,1113.8911712127592,3077.891304199693
379,138266482.69995102,3740.5714397779143,1311.0674344065676,2809.903415189026
380,115829254.48389092,5852.031247607274,2033.9834316801723,3934.788358321788
381,148165071.70060685,4267.181374938281,1421.1658964530266,3540.4177229514085
382,,,,
383,159194724.89747778,4707.495635293637,1613.6508529469122,4072.449743720766
384,97551705.39264256,3631.9932012600066,1194.067167614999,3301.061802382691
385,46095952.0791075,4636.0205249027,1557.7693244265993,3934.788358321788
386,,,,
387,5298864.43756755,3806.655486758297,1261.3340722607836,3301.063604765382
388,93194492.39685316,3545.5389917007074,1207.354576388516,3301.063604765382
389,27372962.361744404,11477.133065720924,3707.566349958606,6779.23736116624
390,83059521.99885298,5005.696498454344,1925.2589587606717,3797.12697292281
391,19239512.323939096,4514.198105100668,1758.6391520968089,3934.788358321788
392,,,,
393,,,,
394,142296835.88830733,4607.894948290403,1695.2814121103602,3797.12697292281
395,,,,
396,134152532.65200028,3668.0560568395526,1349.8267611007702,3138.9456520998465
397,28713124.989391055,3968.0075396401103,1334.811258862493,3250
398,142504551.5590026,4936.077296813389,1697.129282095591,3200.5318023826912
399,139411411.75350937,4014.243569279168,1361.479454998773,3301.063604765382
400,82698892.16689311,3674.85301132656,1241.7437524120971,2657.895
401,159098386.39804083,3829.451364705163,1266.0718461125464,3540.4177229514085
402,99707805.70813282,3655.727391466982,1199.5789856486822,3038.9456520998465
403,154068848.53876054,3899.6671415065534,1317.5597429235115,3540.4177229514085
404,322182424.54093444,5883.499760663903,2091.7405148542102,4526.08283394358
405,43176105.59863593,4720.954963970524,1651.2201926968007,4072.449743720766
406,25218780.789417155,4068.1093445236697,1433.292457483214,3712
407,200447392.21857408,6580.676041318912,2454.3576860361763,5294.189832581453
408,87209235.39735891,5342.3937391178,2185.5855695794426,4367.73566788716
409,90170133.60581349,6926.573483316449,2496.750203677518,5388.379665162906
410,134477454.40184796,3180.1885825532777,1094.246750493087,2884.903415189026
411,67233730.87295555,3464.76325034555,1142.84771159197,2920
412,47952937.463792086,6496.807676980368,2145.2573463871568,2869.806830378052
413,22822531.756243233,4863.100736467767,1644.6300898063866,4072.449743720766
414,30131467.64450805,4547.459650544527,1559.8419860489755,3797.12697292281
415,78415494.3254102,5443.252417423989,1944.7322634147656,4220.092705803963
416,37806845.58822352,4086.7847355122153,1406.1384902824232,3873.563486461406
417,,,,
418,39161696.52414389,3577.717570267124,1295.6723415763083,3077.891304199693
419,,,,
420,25894835.633720692,4170.532393899288,1689.4914617159702,3048.9456520998465
421,,,,
422,66585628.314109765,5592.611146825946,2080.4108077894693,4383.86783394358
423,,,,
424,212869247.53235072,11011.237716343414,4230.563180085274,7400
425,151037001.29099986,7145.621483228456,2658.3533034884485,5779.081274591074
426,119524550.5221762,8339.011146729097,3114.078227350741,6259.055973565982
427,17695051.681450933,6103.846733856823,2270.0515306543866,4684.43223736483
428,40005135.62954305,6557.144014021147,2426.612618557749,4367.73566788716
429,275728787.38259643,9454.098658755258,3859.1533336496022,7129.525775169853
430,101489934.39448084,7084.81217413479,2770.904916986945,6000
431,72607850.00324179,7074.030592677505,2723.1688108330573,5254.189832581453
432,41944315.34740351,4570.514568085014,1660.2404744855744,3540.4177229514085
433,91038614.83204368,7484.88159434707,2951.6783332374807,5889.540637295537
434,134023365.0847158,6730.783702526917,2629.4558580481817,5600
435,128833069.0646708,6199.560611359942,2365.1680539125546,4750
436,123722113.98401478,5395.173294261934,1996.8384574317668,4630
437,80797667.54385597,4886.463111209912,1779.2923925094904,3825
438,199968440.99473208,4528.988766215926,1670.3010440589044,3798.563486461406
439,260739622.6769869,5913.401734447358,2225.6713359423898,4160
