work_zone,external_work_jobs,internal_work,total
1,2927.1899987670126,62990.711339654874,65917.90133842189
2,4398.622672106189,46153.05483524408,50551.67750735027
3,755.4494488066947,17386.938463205814,18142.38791201251
4,1248.3689418837116,23655.815654947823,24904.18459683154
5,2431.4339738747076,80238.97100135239,82670.4049752271
6,3672.92618614597,32950.122090950375,36623.04827709634
7,2507.6747035584444,28526.753596838054,31034.428300396503
8,898.821654401074,11814.511559248253,12713.333213649325
9,1668.9072049853287,11760.238788896278,13429.145993881608
10,121.8953239921674,9555.501206606627,9677.396530598793
11,58.64964987856983,3729.532652678869,3788.182302557439
12,1890.425850232103,18636.89985554531,20527.325705777417
13,1092.9450328585026,19691.551657721306,20784.496690579806
14,1832.3269515229028,19246.369714964225,21078.69666648713
15,2284.009856082378,13333.059887710484,15617.06974379286
16,1289.223622323536,13731.584230957234,15020.80785328077
17,1696.8969901423566,7478.376618036039,9175.273608178395
18,1871.082268994036,23917.090314107576,25788.172583101612
19,205.7930284828496,13101.749050084049,13307.542078566898
20,313.904673782985,11888.8465291692,12202.751202952186
21,362.2968151166113,8494.63412014836,8856.93093526497
22,499.7054093019108,6185.788033067665,6685.493442369576
23,205.8657259663204,11980.19317070632,12186.05889667264
24,233.6981567198445,21247.7365609677,21481.434717687545
25,467.6000757263328,9964.74180906789,10432.341884794225
26,401.304876611743,11824.83898155251,12226.143858164252
27,2135.3315307948124,46351.10330213498,48486.434832929794
28,1184.298689450128,20131.801562741453,21316.10025219158
29,1811.0894058691688,69929.9049331482,71740.99433901736
30,211.6285668176711,12498.416563897656,12710.045130715327
31,1284.343323848866,26166.286600706055,27450.629924554923
32,893.9802764517601,53031.01512935441,53924.99540580617
33,0,1303.3996977667275,1303.3996977667275
34,326.36514482302084,9318.113457884987,9644.478602708008
35,3768.5146601912056,44645.3229304002,48413.83759059141
36,967.9815210950167,34837.91383206243,35805.89535315745
37,1427.1195195554744,9911.167463915575,11338.286983471047
38,181.2213395678224,3836.9932414931463,4018.2145810609686
39,2886.644451589701,9505.838264282913,12392.482715872611
40,821.4926919583104,11322.605859861464,12144.098551819776
41,2185.8493615624006,16855.877668986974,19041.727030549373
42,425.71433187947474,6783.929655169101,7209.643987048576
43,2980.0482642210186,27201.609430157605,30181.657694378624
44,691.9020831724433,18540.433982995863,19232.33606616831
45,3556.9676596013487,33697.950305169215,37254.91796477056
46,1375.1410931823718,12063.563165715865,13438.704258898237
47,1012.866466570236,7684.793107098453,8697.659573668689
48,1062.6959082278413,12271.5060889048,13334.20199713264
49,511.12666906520064,17793.641292706572,18304.767961771773
50,127.11984937822,3692.568548651584,3819.688398029804
51,756.4495262394036,7830.033841416682,8586.483367656085
52,244.592247500329,9337.565175775668,9582.157423275996
53,459.6690857708882,21464.608435216465,21924.27752098735
54,721.8174019834437,27051.872175217784,27773.68957720123
55,653.7931311022091,15229.066149024657,15882.859280126866
56,539.9179395112284,20542.97717663336,21082.89511614459
57,1133.4789373841888,44551.228995703954,45684.707933088146
58,613.5010414048414,17158.715498731653,17772.216540136495
59,1742.3314538526288,27754.29543964484,29496.62689349747
60,758.426443063714,16423.934824924403,17182.36126798812
61,1224.6703589747442,16955.58503114769,18180.255390122435
62,1038.3920392288244,14394.984014414164,15433.376053642987
63,286.545160573272,14610.7544751945,14897.299635767771
64,1778.361531949231,40376.891764799875,42155.253296749106
65,495.12540777075907,17019.40974993668,17514.53515770744
66,832.088754292168,23526.891904568423,24358.98065886059
67,547.131251440944,11776.388014754088,12323.519266195031
68,2791.86370094271,76551.3665187294,79343.2302196721
69,2187.469922591281,38879.814854520766,41067.28477711204
70,595.0024848553959,24051.39002157469,24646.39250643009
71,1252.4244934290068,26537.565057215474,27789.98955064448
72,2823.610515948133,24990.619407296115,27814.22992324425
73,5652.792964718116,147730.4606038683,153383.25356858643
74,2477.9397971980748,49864.9192019812,52342.85899917928
75,2100.997022943562,13270.675808519887,15371.672831463453
76,566.8860181072437,14701.173166101327,15268.059184208572
77,1692.0248692493208,41948.91245960237,43640.93732885169
78,1203.969541225521,24542.26361876763,25746.23315999315
79,1644.0549213493482,43471.67429032985,45115.7292116792
80,131.279475918166,30905.98666554445,31037.266141462613
81,2945.1818469405516,43701.36496690044,46646.54681384099
82,4957.180483203756,67652.99111917683,72610.1716023806
83,832.2184860162511,32882.31364439294,33714.53213040919
84,144.214440409662,15519.41131433493,15663.625754744591
85,26.5454545454546,4527.198335051595,4553.74378959705
86,240.5142470359233,3477.851199656142,3718.3654466920657
87,82.36320486798519,11664.920312625338,11747.283517493324
88,1539.8258072474732,21826.12596628265,23365.951773530123
89,63.0236871327044,4618.021195420515,4681.044882553219
90,174.5778737599069,7377.131176589149,7551.709050349056
91,1707.4514166969168,25487.88224424222,27195.333660939137
92,1202.0767033530997,18621.48923582244,19823.565939175543
93,609.1546935790516,30262.921794003087,30872.076487582137
94,1049.814223998237,17563.418217281323,18613.23244127956
95,362.81420829340107,8641.311459897895,9004.125668191296
96,373.6904208117528,11456.722791651311,11830.413212463063
97,816.1076134087476,10151.761566423484,10967.869179832232
98,558.2543839601531,6106.043165856182,6664.297549816335
99,3490.6830958781743,22232.872364917803,25723.555460795975
100,3220.1926825652454,52005.58890734907,55225.78158991432
101,1428.4255439429037,10633.879126717073,12062.304670659976
102,915.4672294797828,9699.2367763943,10614.704005874082
103,462.620651723941,4802.318404134594,5264.939055858535
104,0,4071.2549687304936,4071.2549687304936
105,669.118483548997,11170.159022130832,11839.277505679827
106,821.0991149465982,26113.691709168397,26934.790824114996
107,647.5125543696373,15157.626804148413,15805.13935851805
108,1114.386510891694,14823.298286017332,15937.684796909029
109,7975.013953069985,36393.54495658151,44368.55890965149
110,3827.3325822373945,21197.346557101093,25024.67913933849
111,2351.996942507715,15068.909346388533,17420.906288896247
112,808.0625067693321,19695.74525281604,20503.807759585372
113,3620.772463424295,21508.43397565268,25129.206439076977
114,0,0,0
115,3805.9952412035905,14393.274966885085,18199.27020808867
116,6703.777992980072,28465.119402213903,35168.89739519398
117,3885.0012878598855,18243.391469309525,22128.39275716941
118,399.0581798654144,4940.300168327381,5339.358348192795
119,2570.5966825330015,23235.461361734753,25806.058044267753
120,0,0,0
121,2779.90264369603,11315.141457973836,14095.044101669864
122,1226.779442172002,8347.144655221513,9573.924097393516
123,1552.048716808568,5396.122214545986,6948.170931354554
124,3091.787028515002,9752.907931479805,12844.694959994808
125,1934.0150324722456,11177.00068472552,13111.015717197766
126,1367.9485556354446,10635.148451038487,12003.097006673934
127,2502.292187684471,26632.493243277026,29134.785430961492
128,88.9026286678031,9692.426202158684,9781.328830826487
129,1688.7845160710135,13295.704625655191,14984.489141726204
130,568.751697355639,5051.807899551914,5620.559596907553
131,266.9162558099615,11228.570724395951,11495.486980205917
132,501.35777785569144,2918.0728926626653,3419.4306705183567
133,1750.9939136725277,21845.11828314711,23596.112196819635
134,1284.773599653245,13134.706691198564,14419.480290851809
135,767.7802856601085,19066.85407524405,19834.63436090415
136,1991.2893346599012,19449.760850533803,21441.050185193704
137,2551.8742660384314,16485.14613933531,19037.02040537374
138,782.721280695239,14546.638087640613,15329.359368335852
139,695.2282757857329,7622.793449115105,8318.021724900838
140,0,11341.535664691535,11341.535664691535
141,3006.99684650351,29347.56269471167,32354.559541215174
142,2858.226699695388,10667.851114409035,13526.077814104425
143,0,0,0
144,6846.7273271064205,25113.167841693525,31959.895168799943
145,805.0453117929319,1852.488047083148,2657.5333588760795
146,0,0,0
147,577.0334546438635,8997.113602322355,9574.14705696622
148,533.881404760295,7541.8596078239825,8075.741012584278
149,0,0,0
150,1400.4686505109148,14097.764931187472,15498.233581698389
151,1477.7816454680478,15704.85879351874,17182.640438986786
152,824.9684724911812,10985.07139300914,11810.03986550032
153,574.293486021696,7538.490321237487,8112.783807259182
154,4405.058057218253,22749.928827201653,27154.986884419908
155,1125.338607939711,5941.968395783348,7067.307003723059
156,1135.8400508141283,17187.080662401186,18322.920713215313
157,183.1887302516704,3361.5447595912087,3544.733489842879
158,295.991528507362,16595.96408831868,16891.955616826042
159,2158.006563114369,21011.1878694336,23169.19443254797
160,2215.8012166694416,15459.84037627241,17675.64159294185
161,7993.559268151296,27109.14931061351,35102.7085787648
162,3644.8056128521903,22138.987880857618,25783.793493709807
163,1010.9262593219272,24185.48295651118,25196.409215833108
164,3261.735608364452,15239.120782426213,18500.856390790665
165,495.61053504293915,8993.477957012286,9489.088492055225
166,1919.8170549550591,34407.19078313862,36327.00783809368
167,1469.3544677594102,35444.88768767081,36914.24215543022
168,2912.8230102834164,23612.63270981154,26525.455720094957
169,2812.9608138473177,20648.298389682775,23461.25920353009
170,3044.586883709013,31330.117119593233,34374.70400330225
171,809.149249375824,14772.259621606,15581.408870981824
172,1436.4224329338629,7551.654176108269,8988.076609042131
173,667.8257647568529,10156.671413235104,10824.497177991956
174,502.387226718873,8138.714476267737,8641.10170298661
175,681.1669958274911,9820.726105384636,10501.893101212128
176,2274.831335623289,10675.460408295674,12950.291743918962
177,861.6370299510295,2077.7402982131116,2939.377328164141
178,0,600.599744234285,600.599744234285
179,0,0,0
180,756.838134920821,9942.597781315419,10699.43591623624
181,611.1740930342891,19260.68670162419,19871.86079465848
182,1262.1450519294756,10467.019823207664,11729.16487513714
183,2776.5127607882623,10098.325452630344,12874.838213418603
184,411.813830773987,5994.667437034039,6406.481267808026
185,681.9058887889195,4849.009883625863,5530.915772414783
186,269.37140420341166,2635.1241116713463,2904.495515874758
187,545.876467553251,9295.46939290345,9841.3458604567
188,1208.799298891448,10863.450952862073,12072.25025175352
189,2917.217077795497,9482.906690250864,12400.12376804636
190,1775.8105563755798,18276.662863031772,20052.473419407354
191,1005.9824369247768,7558.080588066487,8564.063024991263
192,2326.557691016128,9433.485392837505,11760.043083853634
193,1570.8784036304128,4334.389546315295,5905.267949945708
194,541.3967261226195,7352.4988838908175,7893.8956100134365
195,1014.476075741632,11934.76437082808,12949.240446569713
196,1048.000972705767,5676.804216404367,6724.805189110134
197,394.85556618648707,8674.881433926304,9069.737000112791
198,2360.144533062611,22801.612859556677,25161.75739261929
199,4553.968083508791,19138.984802229304,23692.952885738097
200,439.361341509212,4551.579033746058,4990.94037525527
201,2336.0754570114545,9649.076659478034,11985.152116489488
202,2101.948241128573,13976.042048893927,16077.9902900225
203,1003.923558935035,10608.199179153688,11612.122738088725
204,3098.79112722546,29575.246863169625,32674.037990395085
205,4018.041335089484,19195.88323835164,23213.924573441123
206,2455.337875287481,16117.919764266522,18573.257639554
207,3361.814677774717,14117.12946843038,17478.944146205096
208,1780.6122009274525,34108.9281814318,35889.54038235926
209,2637.641295714392,15579.78111468308,18217.42241039747
210,1243.95109387227,21032.196621799772,22276.147715672043
211,4412.228863553846,13730.453867163604,18142.68273071745
212,2940.416477510846,16323.955623859669,19264.37210137051
213,5211.4792873780825,19480.95158669148,24692.430874069563
214,992.74393789064,16448.91574412178,17441.659682012418
215,2626.6187692988033,15926.581713301415,18553.20048260022
216,2117.801954059106,10875.986800666424,12993.78875472553
217,1307.9786374130251,7472.238386523791,8780.217023936815
218,1346.466538667462,13986.79892501146,15333.265463678925
219,1029.972629364695,8914.936421507313,9944.909050872007
220,634.998432449079,9032.804058636037,9667.802491085116
221,4001.373284235803,20419.26958843969,24420.642872675493
222,2915.650715498732,14465.917610147751,17381.568325646484
223,2350.964652946457,7310.391925678456,9661.356578624913
224,0,1354.148231975007,1354.148231975007
225,1467.8170855029216,17816.675368170585,19284.492453673505
226,2218.529242780749,11123.464778872,13341.99402165275
227,2137.608283561892,19954.184003600683,22091.792287162574
228,1182.075168473133,8089.0656803173315,9271.140848790463
229,3225.4149708706855,20331.865809367897,23557.280780238583
230,749.510892518273,15872.350661792125,16621.861554310395
231,4238.0437995390885,7516.556122529098,11754.599922068186
232,2116.569431873601,8482.420810963944,10598.990242837544
233,914.217549926984,8469.566030238728,9383.783580165711
234,2529.340911519103,13796.603106268729,16325.944017787831
235,1634.483857510736,16155.075732674772,17789.55959018551
236,581.9227260851834,12741.290678303878,13323.213404389062
237,113.155475340345,13475.907940779029,13589.063416119372
238,563.76793649845,12344.81524366451,12908.58318016296
239,1452.590164677649,17943.76750445965,19396.357669137295
240,2562.3181487253637,12746.36921981696,15308.687368542323
241,828.2469292106839,11428.930395907511,12257.177325118197
242,2545.216756630023,15496.592069880468,18041.80882651049
243,2116.616651267778,25209.261784127502,27325.87843539528
244,982.1231158192371,13639.554690900097,14621.677806719332
245,44.6027886286863,4224.044827993713,4268.647616622399
246,263.212714815402,7792.258923676943,8055.471638492344
247,1647.1896787108433,18980.059189611908,20627.24886832275
248,0,907.2713477793293,907.2713477793293
249,1454.230828348112,6358.565667365681,7812.796495713794
250,671.4669525362731,15424.739705502006,16096.20665803828
251,0,6795.395165861103,6795.395165861103
252,1418.098218472373,4892.484613986211,6310.582832458584
253,1387.5934527545498,4270.126449462116,5657.719902216666
254,2254.0329620079397,30961.977900090984,33216.01086209893
255,4123.023787533658,17498.67623481102,21621.70002234468
256,1882.9061126205197,6557.40650730996,8440.312619930479
257,1085.58148120453,10783.703279619587,11869.284760824115
258,6476.237406360656,18355.52932678807,24831.766733148725
259,182.832289703141,5518.12706549981,5700.959355202951
260,1640.496605587865,5641.522937283073,7282.019542870938
261,3427.5677884602464,19499.28132640663,22926.849114866876
262,1788.0109325511562,16175.163894642805,17963.17482719396
263,5107.464207829131,16165.79901610212,21273.26322393125
264,4691.475184112149,30574.91413185627,35266.389315968416
265,3719.259355954097,14284.904723514815,18004.164079468912
266,85.19894494390581,3366.910076539129,3452.109021483034
267,1791.3168925937175,15244.446626690647,17035.763519284366
268,482.822538487934,8596.196030986202,9079.018569474136
269,1697.3703095725282,18691.374498392728,20388.744807965257
270,1163.60188388519,11136.006943418251,12299.608827303442
271,1588.7300992443893,11147.67525851728,12736.405357761669
272,2987.2280320758164,12406.63635104094,15393.864383116756
273,2012.0207972235291,17741.261219439464,19753.282016662994
274,3612.7369555396704,38598.71853567865,42211.45549121832
275,1759.0680364657871,16577.366136405322,18336.434172871108
276,1986.5163639194568,14451.471275439088,16437.987639358547
277,4950.699715825808,15160.587362992845,20111.287078818652
278,5112.293348855219,20166.39902978308,25278.6923786383
279,2474.2625334376694,11834.837639964526,14309.100173402196
280,2389.827254526132,19966.256465970564,22356.083720496696
281,176.6135223028623,19100.952746240466,19277.566268543327
282,1606.380366387163,17937.385652503865,19543.766018891027
283,1717.412174369971,6496.572462104403,8213.984636474373
284,1340.874701734954,9570.464431202743,10911.339132937695
285,6657.543846117293,19936.61051261934,26594.154358736632
286,4467.026842318934,19333.98641443385,23801.013256752783
287,870.1768789823631,17916.06414818974,18786.241027172106
288,1196.5943847198491,10202.38861956388,11398.983004283727
289,1945.5806051801032,18641.12964782037,20586.71025300047
290,3855.8246234736334,13019.33144917034,16875.156072643975
291,5454.350258578184,17074.036924801632,22528.387183379815
292,4029.6298475786866,11437.769414346814,15467.3992619255
293,3051.492699341827,17703.069371512174,20754.562070854
294,3337.305898643987,31252.188930562792,34589.49482920678
295,2757.7092653981617,33676.2083139382,36433.91757933636
296,403.671901783322,1975.1522023098717,2378.8241040931935
297,355.1782910484191,2406.863066569903,2762.041357618322
298,7514.893218013562,51739.367545769914,59254.26076378347
299,495.28504145958567,1435.3884536664195,1930.6734951260053
300,0,86.3851947914799,86.3851947914799
301,4402.413971600468,116325.29113801788,120727.70510961834
302,1692.63373216727,23819.637696128724,25512.271428295993
303,1000.7977290006088,26867.411787962697,27868.209516963307
304,1298.6310736676633,28754.40173635533,30053.032810022993
305,3949.587549095383,21931.52343583181,25881.110984927192
306,4784.026082686297,22455.978975450005,27240.005058136303
307,435.895964502584,12247.489030234568,12683.384994737153
308,704.361932294162,21927.18393326681,22631.545865560973
309,589.627904683882,5178.041663679957,5767.669568363839
310,1371.54870338506,8277.10947984456,9648.65818322962
311,387.5886439879018,6377.643026273606,6765.231670261507
312,664.0962273673481,21484.56937273359,22148.665600100936
313,2570.649059908246,16020.114103854514,18590.76316376276
314,948.6728879015246,4859.112911558803,5807.785799460327
315,9263.817102878205,19061.410754180768,28325.227857058973
316,4739.260871162795,21967.834906934386,26707.095778097177
317,1306.7103863164884,18672.202655040674,19978.91304135716
