origin_zone,short_distance,expensive_transport,distant_stop_or_station,infrequent_transport,long_travel_time,crowded_transport,physical_activity,fear_of_contagion,other_reasons,total
69,11251.557385298303,0,56.087052697325603,81.28191384127102,0,0,87.747235066092571,0,0,11476.673586902993
70,12775.494073360693,0,0,0,0,0,0,0,1537.9102313075209,14313.404304668213
71,14601.015923798726,0,0,0,0,0,597.84466073784949,0,0,15198.860584536576
72,3014.7824604238067,0,95.118590971789416,0,0,0,462.94559411561374,0,0,3572.8466455112098
73,20793.844409370718,0,151.20564366911503,0,0,0,42.616943247473422,0,43.529687006901753,21031.196683294213
74,8513.978153798349,0,0,0,0,0,245.04242827355452,0,0,8759.020582071904
75,4523.1853583677575,0,0,0,0,0,208.80920685668423,0,13.973918740406344,4745.968483964848
76,2700.5111649556893,0,0,0,0,0,361.26040723796331,0,0,3061.7715721936524
77,10188.99698455358,0,0,0,644.25265704839478,0,966.53741197712952,0,0,11799.787053579104
78,9087.7999806157459,0,0,0,0,0,727.23511027192797,0,0,9815.035090887674
79,11623.947112483915,47.309973739047535,0,4.4376469368918023,0,0,477.29762072520367,0,0,12152.992353885058
80,10797.535568550535,0,0,0,0,0,327.51306674665346,0,0,11125.048635297188
81,3707.1959755090784,0,0,0,0,0,174.04870807642644,0,0,3881.244683585505
82,13732.226154340937,0,0,88.077214472817431,0,0,167.09648032483841,0,0,13987.399849138594
83,13113.939843053646,0,0,83.010841622599941,0,0,790.71759052487948,0,510.88616001841041,14498.554435219534
84,8892.9501376820153,34.987660054798056,0,0,0,0,0,0,70.745554861746868,8998.68335259856
85,2185.0089398846794,0,0,0,0,0,15.517252680243253,0,0,2200.526192564923
86,225.33818984430505,0,0,0,0,0,85.537807241930224,0,0,310.87599708623526
87,3398.716392406247,0,0,0,0,0,213.46388380396169,0,0,3612.180276210209
88,17991.582798200514,0,0,276.52519167130959,0,0,586.68427026530094,0,0,18854.792260137125
89,1412.5642501129587,0,0,0,0,0,0,0,0,1412.5642501129587
90,5005.0762657821051,0,0,358.75087361197075,0,0,419.04825542370224,0,70.745554861746868,5853.620949679525
91,3952.163365140274,0,0,0,0,0,0,0,117.89781150217007,4070.061176642444
92,2251.5197419498627,0,0,0,0,0,0,0,0,2251.5197419498627
93,5892.1314919741772,0,0,56.517288023817898,0,0,159.33692870409621,0,82.958762626458096,6190.944471328549
