origin_zone,industry_work,commerce_work,services_work,education,shopping,health,leisure,job_search,personal_business,meal,total
1,1967.4282005082232,7230.2343669080201,49958.053830204553,8002.4170248088667,3153.2112430476413,1292.9746394310853,1606.1350912691448,861.96362663261425,10034.762000131117,6247.5331657064553,90354.7131886477
2,1215.8539439764068,28976.195120099139,21914.413084724838,3061.8104351563211,19168.693551539618,875.18420353079898,883.0313311298537,0,3380.2443083133171,3327.9477994700974,82803.37377794039
3,750.17216646093493,4238.2346008608047,22504.365020861995,9853.7078291006401,2827.3526906221373,1585.0122751331705,1038.0163982306349,0,3342.9036220983662,2767.3250469765439,48907.08965034523
4,435.29892556910772,7780.1325014859667,27228.599792041765,6504.5468874260141,2485.5255479747361,1140.7315225529796,7193.8483176845466,0,8351.9607978761633,3225.9481619395087,64346.59245455078
5,4115.3441449171269,16242.535969841671,71399.632015501164,5941.7752254302677,4192.9927929041387,1985.42945959299,4908.8921851163932,1358.0732130741039,10057.460048337811,4656.7648673887707,124858.89992210444
6,1193.8303853839623,17697.116928912128,32218.996738883507,4928.4792516797661,2932.4195763670496,3841.0469308255729,1397.0777564039333,129.89154918835274,2495.4985069028908,365.22739964409323,67199.58502419126
7,4332.2282384704995,12316.030402430904,23341.093796126686,7901.4596378693795,5357.4420834187349,543.85677976489183,2455.5033304087128,1190.7136904017848,4111.8261432648269,0,61550.154102156426
8,2356.2620614848652,4408.6689166123369,6275.874434772225,13183.387161551902,1169.3977410967777,250.50940683290287,938.38485489429343,0,282.9104196985183,187.74236200641283,29053.137358950236
9,2172.7755851814309,755.68549734552334,12221.89718575076,10185.270636611573,433.51547070645893,744.95430612372888,1599.7430542505822,0,1334.1587733530778,1743.7160438736917,31191.71655319682
10,844.84418828736318,4786.8281971009701,4961.7715627673551,7636.3150023431372,53.41976521228743,50.062692603337631,1951.793082296449,0,200.35854527978429,0,20485.39303589068
11,871.62869863204719,2928.0791471831308,999.15300888409183,4081.8538993506177,289.27535868046101,566.2535445746455,595.54668155502179,0,372.23378918319486,0,10704.024128043213
12,2269.362744698913,12952.695142745921,13142.532457775465,8214.6393600672163,2329.4369675206208,1550.6432148536485,657.0978276050264,0,1396.2834120633997,788.32204405170398,43301.01317138191
13,108.65843590951221,18934.752733755093,2926.6434318190181,1256.3122912204308,6267.9290372154246,31.657250592104379,62.86697620510914,0,1177.7495820222045,0,30766.569738738897
14,1774.0237377038125,16371.234862091913,5112.0967975022777,6546.202262858048,11304.266016172531,241.41066008160294,391.6408677692051,262.42506957737669,2014.2561798690961,710.7308883393905,44728.287341965246
15,1751.1036527894535,7209.7249225124133,6830.0785703798765,3273.8116735626227,2856.7906187057074,1019.6348596185128,265.44078249818597,0,2160.2784247066302,81.197333643966758,25448.06083841737
16,11143.305182439664,6076.9353075571789,14550.290644645707,10706.90034381771,2784.2532783221745,928.70983582546683,1670.777436377309,376.06989942200232,1959.9055011121316,15.703639519772931,50212.85106903911
17,288.88662747163721,8229.0528382086668,6548.5707928005249,3833.9009081270665,2693.678428097212,430.86676976297048,822.54975907230983,0,1207.2170762057071,560.75288642686303,24615.47608617296
