work_zone,formal_employee_jobs,informal_employee,public_employee,independent_professional,self_employed,employer,family_business_owner,family_worker,total_jobs
1,45260.89425334024,2142.2326112626574,12813.68153270083,1141.47937543361,4247.573596347976,246.4317165678905,65.6082527686883,0,65917.9013384219
2,32369.18821107024,3546.395299945459,2216.6804552583553,632.8843546572471,8281.085696965853,1439.1686892578937,2066.274800195217,0,50551.677507350265
3,9251.08882377582,144.3855434683134,6336.945475065234,176.41052740065086,2214.6300198990066,18.9275224034856,0,0,18142.387912012513
4,11357.394516496895,2144.690033951372,4848.785247465384,1288.3010888163856,4688.4221815919655,576.59152850954,0,0,24904.184596831543
5,57973.99524582722,1356.0905943408738,6498.084412496188,2348.132202732513,13728.929073301268,591.0819127386287,174.0915337904219,0,82670.40497522711
6,16937.827535256918,5117.405993589772,3105.555807235993,1259.8702652917586,8697.712650505793,917.019493959333,587.656531256758,0,36623.04827709633
7,17942.269501539602,2494.9234526335526,2871.521703380063,0,5829.6906489836965,171.1285320608314,1724.8944617987595,0,31034.428300396507
8,5534.109323501525,3227.5905290945775,800.6309015892185,667.301453347443,2393.786073512104,37.125000000000036,52.7899326044563,0,12713.333213649326
9,7121.999582331148,157.4062093465841,2173.8345358360116,0,3941.1058443021225,0,34.7998220657412,0,13429.145993881608
10,8205.11135363421,824.718927039057,76.7993650682094,0,529.1873278598148,13.62222222222222,27.9573347752818,0,9677.396530598795
11,2904.5887283458464,188.5244181876988,0,0,653.5691560238936,0,0,41.5,3788.1823025574386
12,8571.526099237746,1782.716800759011,157.4904489459665,68.1097782249735,8296.903624440749,659.6254929309529,830.2940631077818,160.65939813022482,20527.325705777406
13,6684.218670963195,5026.687783647791,0,0,8582.954894946752,249.32973099503383,193.82786252940429,47.47774749762467,20784.4966905798
14,15615.60763072662,858.0061604552509,254.16113884766,121.393430762552,3997.1913742491583,176.0784755588657,38.09680811602085,18.1616477709947,21078.696666487125
15,10466.648066636606,355.92381202047204,196.8912570641501,0,3884.823778639839,214.228479348281,458.85586023536905,39.6984898481471,15617.069743792865
16,8013.890947947515,884.761093830372,1236.730472988362,0,4572.594067865186,32.3185424625331,280.512728186801,0,15020.807853280769
17,6222.044104950678,423.0312549962053,0,40.9835082896501,2191.1549135071155,171.85379142694438,80.9593323745686,45.2467026332338,9175.273608178395
18,16489.425807128973,1240.4684877288469,2015.1272329617732,318.63443036028104,5724.516624921726,0,0,0,25788.172583101597
19,6253.737768015037,235.0308138229591,154.264725719008,246.029744411772,5508.846306549767,327.71019418438374,581.922525863971,0,13307.542078566898
20,6867.599005525525,0,266.4433505724247,0,4664.107902228858,0,240.793989413889,163.80695521149,12202.751202952188
21,4696.917014282076,198.996141617886,536.3657840332869,215.4182776007963,2878.954482413955,126.136558778322,126.136558778322,78.0061177603256,8856.93093526497
