zone,name,households,families,population,school_enrollment,jobs,private_cars,trips_produced,trips_attracted,area_ha
205,Fazenda Itaim,33553,33553,97509.000000000015,20398.82498979252,23213.924573441123,13669.740740740746,131599.83044741771,129981.06212731311,462.24
206,Itaim Paulista,13921,14199.42,39442.000000000015,8992.62004521786,18573.257639554005,6960.500000000001,75359.793795895283,72900.448115022897,302.19
207,Jardim das Oliveiras,25168,25168,73445.000000000029,24582.372932872338,17478.944146205096,10164,148449.31424362396,146138.40961226218,460.11
208,Vila Califórnia,17147,17147,45152.000000000007,7060.2392408545784,35889.54038235924,9976.436363636349,81013.67092738839,80778.044770613051,340.04
209,Vila Carrão,15623,15623,41342.000000000015,7719.0368553726876,18217.42241039747,15033.452830188658,68975.36166987833,68987.773334901503,440.28
210,Jardim Anália Franco,13155,13155,34110.999999999985,11009.26768333065,22276.147715672043,12143.076923076907,62494.082140884675,63310.013263792709,334.04
211,Vila Formosa,22957,22957,60366.000000000051,4007.9833208742793,18142.68273071746,14854.529411764695,70218.140805270799,71303.382662327451,417.48
212,Barreira Grande,15473,15473,43397,8057.4366355797447,19264.37210137051,8023.0370370370365,55428.061195407849,55591.558555322998,280.1
213,Aricanduva,17618,17618,48403.000000000007,8208.336335541353,24692.430874069556,12071.592592592586,75286.335485963224,74972.109822841478,406.17
214,Frei Mont'Alverne,9782,9782,26167.000000000004,6580.6656203143375,17441.659682012414,4709.851851851847,38478.724884977375,38311.902844943186,225.2
215,Vila Matilde,15120,15120,40156.000000000022,6539.7958933299669,18553.200482600216,11491.199999999995,59915.334347359254,59682.915949096336,330.17
216,Cidade Patriarca,14696,14696,39807.999999999993,5575.6761980524689,12993.788754725532,9993.28,60850.713429102754,61914.690356763058,336.5
217,Cidade A.E.Carvalho,11789,11789,32040.000000000018,6700.6018267324507,8780.217023936817,4584.611111111113,33353.451905418544,33353.451905418544,265.77
218,Artur Alvim,24960,24960,65909.999999999985,13882.067928329596,15333.26546367892,8150.204081632644,108335.37594684621,108352.22944372924,387.27
219,Cidade Líder,17251,17251,49038.999999999956,10367.740482832129,9944.909050872007,14145.820000000009,69229.144692075803,69201.255661160962,347.51
220,Santa Marcelina,12258,12489.283018867924,35366.999999999985,3140.8247009128545,9667.802491085116,8571.076581576017,49941.965003989331,49897.551500914989,265.94
221,Parque Savoy,19948,19948,55649.999999999993,7227.1328151003081,24420.64287267548,13689.80392156864,73218.396876468309,73306.982038400092,444.75
222,Vila Carmosina,17187,17187,47797.999999999964,13137.921061916481,17381.568325646487,16176,72083.395275364644,71638.586885624652,343.76
223,Fazenda Caguaçu,10252,10457.04,28734,4991.0457638706202,9661.356578624913,5126,46477.37494263245,46703.37912025112,439.53
224,Parque do Carmo,,0,-,1981.3052077154989,1354.148231975007,0,7445.1906215782183,7445.1906215782183,777.43
225,Gleba do Pêssego,16229,16229,47022.000000000036,7116.12533885221,19284.492453673505,5564.228571428568,60506.366190845096,60882.608556646366,1028.47
226,José Bonifácio,30599,30599,84406.999999999942,21553.391721483,13341.99402165275,14619.522222222227,113555.76857768289,113771.700618749,416.53
227,Guaianases,22665,22665,64070.99999999992,11853.544479073742,22091.792287162574,11531.315789473674,98267.920224762624,97492.040627058042,472.34
228,Juscelino Kubitschek,16718,16718,47960.999999999956,10192.550830276297,9271.140848790465,6687.200000000001,61667.215489194998,64263.266985180511,418.82
229,Cidade Tiradentes,46465,48013.833333333336,134179.99999999985,38073.413276572915,23557.280780238576,15875.54166666664,211925.70305765269,209833.05589641083,953.59
230,Santa Etelvina,22744,22744,64822.000000000007,17579.000567075527,16621.861554310395,5011.389830508478,95215.406562372926,95781.112588720876,541.3
231,Terceira Divisão,16793,17043.641791044778,49146.000000000058,7003.9414686217378,11754.599922068184,7769.895522388056,48777.789867802167,48777.789867802167,1130.9
232,Iguatemi,15855,16148.611111111111,46829.000000000029,14670.62861645235,10598.990242837544,8514.72222222222,69202.27120755447,68442.680219591944,503.81
233,Sítio Carrãozinho,19927,20264.745762711864,57445,13901.028382787703,9383.783580165713,8443.644067796598,82400.069353033454,81975.327532325507,323.28
234,Parque São Rafael,25411,25790.26865671642,75832.000000000015,12854.762492010195,16325.944017787831,9860.985074626871,81967.336014381552,82004.26886691578,736.99
235,Rodolfo Pirani,26909,26909,75994.000000000015,15415.234793953519,17789.55959018551,8072.700000000002,85608.13651522556,86354.461767977147,566.04
236,Ipiranga,4988,4988,12071.999999999998,4939.9084253954461,13323.21340438906,3242.2000000000003,33387.401695118861,33968.593642574982,91.94
237,Sacomã,4788,4837.360824742268,11084,1675.6480291962441,13589.06341611937,3055.1752577319576,39561.670219232125,40745.892454252054,90.34
238,Alto do Ipiranga,8339,8339,20022.999999999993,2397.9172802663188,12908.583180162965,5292.057692307707,32146.284150544532,32362.594587265172,160.81
239,Vila São José,5877,5877,14764.000000000002,13553.026564828371,19396.357669137305,4148.470588235291,60421.706106347556,60546.043797272665,177.55
240,Vila Monumento,8165,8165,20456.000000000018,2142.6993586909698,15308.687368542323,6898.017241379333,42429.22788477534,41343.49792589045,165.19
241,Vila Independência,4275,4275,10863.999999999993,1516.4629503515114,12257.177325118197,3124.0384615384637,31806.522832158742,31912.053294874007,170.22
242,Vila Carioca,11040,11256.470588235294,29897.000000000015,1719.724800578912,18041.808826510493,6061.1764705882315,47805.587969212487,47869.95685610552,249.11
243,Moinho Velho,18455,18455,45793.999999999993,18211.838455328187,27325.878435395283,16645.686274509793,96289.077373357912,99995.91251456771,347.41
244,Vila Heliópolis,24260,24260,67179.999999999971,3820.3535282181915,14621.67780671933,11663.461538461552,92668.882149852667,89592.510116918871,232.81
245,São João Clímaco,9482,9482,25081.000000000015,2508.9218240666341,4268.647616622398,7395.96,25189.802113708436,25924.242953361223,198.15
246,Anchieta,11361,11361,30195.999999999993,11908.195662560242,8055.471638492342,7153.222222222227,43054.679747451344,43217.681658143818,217.08
247,Vila das Mercês,37355,37355,99681.000000000029,12939.559777540964,20627.248868322753,22413,105974.91838971669,105576.61229923365,468.94
248,Parque do Estado,,0,-,-,907.2713477793293,0,1495.1387125433557,1495.1387125433557,445.41
249,Água Funda,14521,14521,39119.999999999985,6324.2549163353724,7812.796495713792,8890.408163265305,53377.969665912111,53337.863383948366,276.3
250,Jardim da Saúde,7568,7568,19887.999999999996,1881.4771759624712,16096.20665803828,7287.703703703694,46854.200430631368,45559.488203125438,182.94
251,Vila Gumercindo,10172,10172,25031,3104.7847269431927,6795.395165861103,9573.647058823539,31623.71534282557,31678.931463234039,137.19
252,Jardim Previdência,8074,8074,21686.000000000007,3095.4314138948325,6310.582832458582,6776.392857142839,34573.113288043751,34585.517950501657,165.81
253,Tamanduateí,2056,2056,5605.9999999999964,53.843663420052899,5657.719902216666,577.5280898876402,13488.32621435587,13075.994018272782,112.99
254,Orfanato,14195,14195,35158.000000000015,26278.7999808311,33216.01086209892,13391.509433962254,100998.8269489324,103063.00899439397,354.26
255,Vila Zelina,26984,26984,67552.000000000015,9899.1774851625614,21621.70002234468,22666.560000000005,91872.571082489376,91414.348616721152,492.94
256,Linhas Corrente,11248,11460.22641509434,27883.000000000007,2688.0323022385787,8440.312619930477,7003.471698113222,48212.245169800924,48379.923419536208,251.81
257,Vila Ema,17376,17697.77777777778,44393.000000000036,6088.3286054539949,11869.284760824115,10618.666666666675,52043.838817703669,51587.637855926412,267.22
258,Parque São Lucas,25735,25735,69192,11965.085311178398,24831.76673314872,16994.811320754714,81736.656464646177,82075.870486446453,449.68
259,Vila Cardoso Franco,12126,12368.52,34700.999999999971,2095.909049479078,5700.959355202951,7760.640000000003,35897.49452519547,35512.732482497922,163.88
260,Parque Santa Madalena,15341,15341,43276.000000000029,5834.7225969423735,7282.019542870938,6136.4,63786.220644925517,64170.895381318216,204.85
261,Jardim Colorado,19211,19211,53479,11648.276360635151,22926.84911486688,9430.85454545454,83976.703499861251,84613.946077202781,320.26
262,Teotônio Vilela,28504,28504,79176.000000000058,5796.1915478454493,17963.17482719396,9866.769230769223,73660.986907362225,73693.882507200964,346.33
263,Fazenda da Juta,21875,21875,62710.000000000007,11775.107319788063,21273.263223931248,7720.588235294118,95605.274617250077,94571.017578730418,329.57
264,São Mateus,22843,23738.80392156863,64305.999999999993,12421.828483701083,35266.38931596841,14332.862745098048,116332.30798611406,115475.00363194736,427.59
265,Cidade IV Centenário,15389,15389,42838.000000000036,12284.813532181999,18004.164079468912,10167.732142857129,81845.747008195729,81318.323461177206,332.58
266,Rio Claro,7163,7303.4509803921565,20014.000000000004,3229.6933926424813,3452.109021483034,4494.431372549023,27286.97144493855,27093.449515560642,218.36
267,Cidade Satélite,11723,11723,32392.000000000029,7238.5183493636123,17035.763519284366,5972.094339622641,56818.661256467232,57842.283271702639,300.48
268,Joaquim Nabuco,5074,5108.053691275169,12903.000000000018,3162.4170676080917,9079.018569474138,5210.214765100668,28701.565700290372,28590.704724682419,198.44
269,Vieira de Moraes,13074,13074,29352.000000000029,2031.7553254082636,20388.74480796526,16639.636363636357,59688.894582407745,57874.358423658909,171.28
270,Campo Belo,4434,4434,9486,1655.3505288940059,12299.608827303444,3167.1428571428564,24360.03886893301,24333.82702700856,138.57
271,Congonhas,,0,-,-,12736.405357761669,0,15082.457652435964,15264.978824191237,179.42
272,Jardim Aeroporto,8951,8951,21083,4490.0636132067666,15393.864383116754,6808.880341880338,40677.203585507734,40497.162985193005,198.55
273,Vila Santa Catarina,24071,24071,61864.999999999978,7624.3730896394873,19753.282016663,17590.346153846145,88488.791575351483,88839.641669709526,325.71
274,Jabaquara,12769,12769,31810.000000000011,10063.003271429237,42211.45549121832,7296.571428571422,97137.726583460812,98687.677143597073,288.72
275,Cidade Vargas,15729,15729,38451.999999999978,12562.104451922816,18336.43417287111,11574.16981132074,75269.041068452803,76315.337807095668,347.45
276,Jardim Bom Clima,32362,32362,88181.000000000058,9756.1154576181871,16437.987639358547,16720.366666666676,142046.9002505774,141433.96339512151,445.92
277,Cupecê,22132,22132,57629.00000000008,10040.356614763008,20111.287078818652,16696.07017543859,69871.663789188242,70542.35390547321,416.89
278,Jardim Miriam,44311,44557.17222222222,122946.99999999937,24405.992409867278,25278.6923786383,14770.333333333305,179962.67987205941,179280.2196091853,513.94
279,Vila Missionária,27199,28010.9104477612,74833.000000000044,8826.1610671762592,14309.100173402196,10960.791044776122,76783.101644823138,77665.932491085274,295.4
280,Jurubatuba,9872,9872,25562.999999999989,11376.577214108076,22356.08372049669,9871.999999999996,57236.719900977383,58127.472364173125,482.59
281,Vila São Pedro,15464,15464,39644.999999999985,7501.1594789271467,19277.566268543327,16415.630769230742,60010.584488690467,60269.778055182171,312.58
282,Campo Grande,13596,13596,36234.999999999985,5885.5961974360098,19543.766018891027,11865.599999999997,57272.67026755667,57349.468551559672,272.36
283,Vila Sabará,6660,6660,17362.000000000007,1293.5078915551692,8213.984636474373,7300.38461538461,23216.407392632773,22697.092803371361,234.56
284,Mar Paulista,18736,19110.72,52453.000000000058,19871.957436987821,10911.339132937695,10117.440000000002,68497.353614596446,68510.350607553512,548.66
285,Pedreira,39807,40470.45,115197.99999999987,7453.3480346223723,26594.15435873663,19903.500000000007,98422.847973234006,97334.871881860468,1302.69
286,Vila Socorro,4637,4637,11510.999999999993,1919.1884219856611,23801.013256752787,3587.113207547168,41498.661544234361,41818.9325595626,293.26
287,Parque Interlagos,10284,10284,27485.000000000004,4393.1364654211002,18786.241027172095,8537.660377358505,57426.631577717912,57420.881320943838,935.66
288,Jardim Represa,6392,6642.666666666667,18261.000000000011,21414.048447296969,11398.983004283727,7018.666666666649,53545.830863010611,53831.778723296942,783.73
289,Rio Bonito,16095,16095,44845.999999999956,15798.146361321229,20586.71025300047,12875.999999999996,85104.7610473268,85754.734010510685,495.82
290,SESC Interlagos,18516,18516,52880.000000000015,11487.06239665043,16875.15607264397,14442.48,69687.583512509867,68133.037816740296,736.48
291,Jardim Presidente,25592,26065.925925925927,71006.000000000087,12710.290495529398,22528.38718337981,12322.074074074071,87594.977263582085,86757.018499619866,762.54
292,Vila Natal,22361,23255.44,65078.999999999993,18184.821028786999,15467.399261925504,14311.04,86087.896520772701,86643.369611070855,415.09
293,Grajaú,27533,27533,76903.000000000044,13551.571785678618,20754.562070854,15584.716981132073,73682.710403826626,74689.764494996853,540.7
294,Cocaia,35560,36068,101771,28328.878222948151,34589.494829206786,15240,105546.47998631865,105433.10446416769,1093.33
295,Belmira Marin,44142,44877.7,129341.00000000003,27523.874550051256,36433.91757933637,19863.900000000005,142364.7442932174,139665.95114230106,1236.83
296,Bororé,7169,7455.76,21341.000000000018,1958.5237087485609,2378.824104093194,2294.080000000001,8171.4155557548747,8059.1561506052221,5992.56
297,Jaceguava,2122,2122,6320.9999999999982,1000.0605259988702,2762.0413576183214,2404.933333333333,7472.0306961270808,7475.204181392266,3512.69
298,Parelheiros,50332,50669.79865771813,151192.99999999959,41695.390912763149,59254.26076378344,22294.71140939601,212657.90859435368,207398.18617314516,11667.08
299,Marsilac,5040,5183.999999999999,11727.000000000015,719.97859959200991,1930.6734951260053,2448,8839.4105474182234,8887.0805478760067,4564.97
300,Jardim Emburá,,0,-,8.7020831515661801,86.3851947914799,0,112.32129068308984,112.32129068308984,16230.99
301,Granja Julieta,17730,17730,41686.000000000015,21856.811313125392,120727.70510961831,12148.333333333318,172202.27209854516,174670.36945808277,616.88
302,Chácara Flora,4684,4684,12550.000000000004,1940.8017520069129,25512.271428295993,6691.428571428567,50326.710364771039,50163.689260633393,452.25
303,Santo Amaro,7788,7788,19007.000000000015,22018.324050004459,27868.209516963303,5143.0188679245275,78618.087524013186,79124.144852383353,257.11
304,Vila Miranda,5814,5814,14226.999999999989,26459.329060563043,30053.032810022985,5508,53666.237887569303,53679.241618892738,271.15
305,Jardim São Luís,26764,28905.120000000003,73404.999999999985,18486.331639595577,25881.110984927185,14987.84,128465.76766373501,126582.86746706597,408.45
306,Centro Empresarial,41660,41660,113649.00000000006,27728.652872487764,27240.005058136307,21524.333333333376,167729.13763588827,165663.11141908338,675.29
307,Guarapiranga,28475,28475,78767.999999999971,12695.972976439873,12683.384994737153,10820.5,80264.906007895712,79612.754781476993,1513.25
308,Jardim Capela,39292,41019.120879120885,114144.99999999999,22220.423820141277,22631.545865560973,15544.087912087914,132976.73811136634,133578.82699806013,2022.05
309,Riviera,14011,15358.21153846154,39531.999999999993,10416.034647735585,5767.66956836384,5658.288461538467,67317.333278312581,67553.22583723205,798.79
310,Jardim Turquesa,21566,21566,60863.999999999927,11341.556378788395,9648.6581832296215,7537.631067961166,69638.978826090912,67391.005017601201,282.87
311,Morro do Índio,9277,9277,25981.000000000018,3245.5219220232011,6765.231670261507,2842.9516129032345,31951.879934768007,32667.001349783754,114.64
312,Jardim Ângela,28552,28998.125,78648.000000000044,21216.786209448524,22148.66560010094,8476.375,119163.67007743052,118176.1405548222,463.77
313,Capão Redondo,14988,14988,39927.000000000029,20580.479051301725,18590.76316376276,7793.760000000003,80513.667754458831,83532.208554357567,219.39
314,Jardim Sônia Ingá,7973,7973,21031.999999999996,5228.4964757518019,5807.785799460327,3029.74,35681.265487380027,35309.165147104075,105.38
315,Adventista,35285,35285,96360.000000000029,25785.742549387294,28325.227857058977,11173.583333333328,118096.24134562735,119543.25191836945,545.26
316,Parque Fernanda,43248,43248,120175.00000000004,17848.558155488339,26707.09577809716,16097.86666666668,136651.13479992427,136599.65147524377,512.27
317,Morumbi,5950,6030.405405405406,12868.999999999985,2135.5250171847038,19978.91304135717,6110.810810810811,41630.184575775296,41054.886229080796,271.46
318,Jóquei Clube,1114,1123.2833333333333,2645.0000000000032,1251.1428226492628,10090.227604155883,1958.7833333333308,16299.722143354609,16045.13344572508,333.24
319,Fazenda Morumbi,8484,8484,21066.000000000018,1827.4106606685377,21717.34896274618,7606.344827586232,43070.764892383093,44140.206951490683,320.73
320,Real Parque,3470,3470,8196.0000000000073,6077.8931112981618,19391.65018596439,5428.870967741931,40189.31307658321,40160.431339530121,223.42
321,Paraisópolis,27377,27377,74358,10357.254576125606,15429.417042251567,12363.806451612898,110869.83359126547,111326.09900251728,361.95
322,Jardim Vitória Régia,16670,16670,39963.000000000044,7626.3852228054693,26221.91829487876,17596.111111111142,82337.309383133179,83204.310626772101,370.18
323,Vila Suzana,23895,23895,58538.999999999876,9428.0494315559808,22550.044857897203,29275.33112582787,86289.082336017629,85988.946220909362,300.5
324,Parque Arariba,25994,26513.88,69730.000000000015,12197.869473604538,12731.94667213683,20275.319999999992,96645.753345738965,98396.861051025189,346.59
325,Jardim Mitsutani,26649,26649,72054.000000000029,17339.62229531139,18911.234622349155,11725.559999999996,92677.100656513299,92085.715237496304,349.31
326,Pirajussara,14202,14202,39209.000000000007,14370.857069184542,17356.10886067037,7101,78442.540273681618,79667.418497832186,270.05
327,Jardim Umarizal,22812,22812,61036.000000000007,7775.8490316912548,8868.584474083147,10949.759999999997,73708.697023585672,75086.703265680291,294.91
328,Portal do Morumbi,9886,9886,25962.000000000055,744.28196172367439,10914.09733925732,12126.82666666668,33140.286166572754,32996.644868530653,151.43
329,Jardim Jussara,9130,9130,22830.999999999978,2911.8357190787592,14291.09652072444,8500.344827586192,30507.089432338031,28781.372124907517,231.55
330,Vila Sônia,12479,12479,32056.999999999985,6583.0942225201197,21621.130460611224,11954.672268907518,57501.164847974978,57544.3254328154,348.44
331,Jardim Maria do Carmo,17163,17163,45973.000000000015,3104.400340898505,13373.887474743287,12014.100000000006,39829.198392735787,40214.293182623471,277.55
332,Jardim Cambará,17365,17365,47802.000000000095,7613.1106934538375,19296.52234153577,10766.300000000005,58268.954149932659,58271.675887428755,480.2
333,Jardim João XXIII,15913,15913,44947.999999999993,8523.0726024845826,17453.786329375976,8911.280000000002,48489.056475820995,47839.952562133229,467.65
334,Raposo Tavares,10515,10515,27913.000000000007,4608.0582716769177,9884.196396498475,9301.73076923075,30946.586118519557,30931.454240127907,271.34
335,Rio Pequeno,16054,16054,42401.000000000044,7910.4794087652017,17229.77980539447,12843.2,50554.536532403166,49851.575870276596,245.75
336,Jardim Ester Yolanda,15031,15031,41509.000000000036,4983.2176426556216,13931.17698118592,12083.745098039197,52109.483112536822,49988.427994502214,264.93
337,Jardim Adalgiza,18417,18778.117647058825,50991.999999999985,9317.9028442847102,15568.463726410431,20944.823529411795,71016.838240151716,72734.424656204443,467.13
338,Parque Continental,8927,8927,22031.000000000004,6675.052404686001,10744.909935936632,6427.44,37249.838881623873,37487.469979530004,226.38
339,Jaguaré,12668,12668,34726.999999999993,4857.3476891888031,22622.736991141992,5975.471698113207,52846.885927078765,53288.084207351843,430.44
340,Cidade Universitária,,0,-,45873.38102626046,26925.921869434944,0,66955.2773357244,67805.235189858067,584.56
341,Butantã,3211,3211,7405.9999999999918,874.17318271605075,19501.141980647302,3494.3235294117612,32878.472857903871,32317.598705777058,207.11
342,Jardim Caxingui,3919,3919,9403.0000000000109,3725.8480267478171,4872.599034119091,3162.701754385965,24162.059506404654,23419.720453318143,180.08
343,Jardim Bonfiglioli,15914,15914,36191.000000000015,6787.1017245839694,13929.057736216657,14383.807692307724,49926.779751430455,50492.353681748522,319.97
344,Melhoramentos,1775,2011.6666666666663,5295.9999999999991,94.802626569511105,1523.7056619307675,3195.0000000000027,5950.0530220383689,5950.0530220383689,2875.06
345,Caieiras,18328,18694.56,50126.999999999993,13985.746486977336,25575.304440014737,24559.520000000004,92541.872955812811,91100.795175893116,1990.04
346,Serpa,14760,14760,41679.999999999993,5715.3355900868683,9920.017672555101,8682.35294117646,42552.021424127903,42734.604981292527,691.49
347,Santa Inês,,0,-,304.27198156430899,630.599944406987,0,1431.4546925645843,1431.4546925645843,4080.68
348,Cajamar,30388,30388,85990.999999999913,22732.271517269059,51243.57634356565,21787.62264150944,156171.21505511043,154620.50860162539,4855.8
349,Jordanésia,3310,3392.7499999999995,9691.0000000000036,1254.1020404613732,13578.220562936374,2482.5,24825.845194337984,24440.352129483075,8307.85
350,Cristais,,0,-,844.36128419407498,299.901389664336,0,997.39682631692733,997.39682631692733,4251.83
351,Baltazar Fidélis,26038,26558.76,72795.999999999985,15777.985249570782,20058.89641403293,13539.760000000002,95018.071124066657,92694.508476735631,2505.16
352,Franco da Rocha,27440,27440,75223,12572.824169058302,15070.655022553285,22500.799999999996,88688.234261146747,88468.479716405651,1417.58
353,Parque do Juqueri,,0,-,930.87169789050495,1226.885358063164,0,3591.3241797736291,3591.3241797736291,2551.34
354,Palmares,,0,-,-,0,0,-,-,2721.22
355,Sete Voltas,,0,-,-,0,0,-,-,560.42
356,Afonso Moreno,19750,19750,55185.000000000051,13518.809836645403,14299.298905812007,8046.296296296301,87508.725838642131,88313.643208862457,744.81
357,Francisco Morato,38521,38521,107238.99999999999,24559.229921551214,18843.08600222453,18357.6640625,105579.8107876151,104276.0304546323,1857.33
358,Cascatas,2252,2252,6545.9999999999982,-,747.3084415584412,600.5333333333336,5649.4451170396596,5511.1716724555299,1758.38
359,Mairiporã,13749,13749,38467.999999999978,13493.275683785227,20235.163018745003,10999.199999999995,93673.696463247703,93036.355879695082,4886.1
360,Paiva Castro,6828,7055.6,19648.000000000007,1946.7725742980415,6399.688439602476,11379.999999999998,21523.802619935832,21523.802619935832,6751.3
361,Colinas,7741,7741,22214.999999999985,5787.9364950973895,8271.732343398515,5934.766666666657,40835.468101716891,40835.468101716891,5553.1
362,Pirucaia,5549,5549,15796.999999999996,400.09401442184003,5069.56758152148,4254.233333333342,22664.319812712889,22138.607246340591,14953.5
363,Guarulhos,7003,7003,17962.000000000015,32542.218391967712,37343.3904346531,5446.777777777774,88051.303284225971,88550.005582976533,164.41
364,Macedo,15222,15222,39202.999999999942,31849.431074490731,34785.81846303352,11022.827586206897,101937.71663829427,101942.32107639759,382.09
365,Cumbica,2835,2835,8706.0000000000109,951.30503030925172,36924.14565486874,1148.3544303797464,42902.461640972724,42384.293620241697,689.34
366,Várzea do Palácio,2018,2018,9254.9999999999927,346.17977817593089,11853.470702401944,1648.0333333333317,18900.208277038582,21602.602532482753,646.76
367,Ponte Grande,15900,15900,42238,9711.3540807730933,32502.93028017544,12470.588235294124,83415.582905180607,83655.099649225187,874.87
368,Gopouva,13649,13649,34982.999999999978,7694.621146218934,12334.323134145754,11149.887323943643,54450.928523571652,53560.313844622069,202.39
369,Vila São Rafael,15851,15851,42806.999999999935,9070.8419226694969,18862.58966709967,10087.000000000016,84654.284735978435,83184.041671410363,401.04
370,Vila Rosália,20059,20059,54873.999999999978,16149.882253057634,20368.622145956266,17250.740000000005,90247.186474305126,89778.350635695882,434.65
371,André Luiz,36260,36260,97661.999999999913,16509.577548602269,34924.74246461422,20305.60000000001,137101.56305789703,137068.28361134668,579.59
372,Jardim Santa Clara,24298,24298,67895.000000000029,13331.911012730077,6865.114762021326,16522.639999999996,80380.606401548692,80255.445733095345,462.74
373,Parque CECAP,20020,20020,54374,10565.66604250359,24535.287896727597,13090,57112.736314203008,58472.854077262942,471.79
374,Taboão,21336,21336,61620.999999999993,18020.08527058551,35364.468686809436,12132.235294117658,80520.651318012577,82472.794652172583,529.11
375,Aeroporto,,0,-,-,29670.307479607312,0,38668.186938082195,33416.352596658791,1324.93
376,Jardim Presidente Dutra,24643,24643,72491,14854.359912619717,38693.95671521934,11828.64,127786.0751703695,127492.70444554799,892.25
377,Baquirivu,16593,16593,47667.000000000087,13319.906629139088,24623.37998115488,8784.529411764719,82768.488371831379,81851.752710898814,1046.37
378,Água Chata,67368,67368,197791.99999999994,37511.820280812797,65030.32794178994,30091.039999999994,245879.4773722871,245084.43986317769,2422.5
379,Pimentas,36964,36964,105461,18965.578325201826,44618.19690945496,22059.161290322583,147099.3577631535,147327.14726637836,1685.56
380,Cabuçu,19793,19793,56947.000000000058,7472.5363971231909,10124.722707403396,14491.303571428592,69935.502555841231,69935.502555841231,752.36
381,Invernada,34722,34722,104256.00000000009,16041.995356789761,17292.624134894344,20833.200000000004,123827.20827736997,123482.59741969709,2194.83
382,Morro dos Macacos,,0,-,-,0,0,-,-,3533.19
383,Chácaras Bananal,33224,33817.28571428571,98655.000000000087,15982.866925779852,20427.25149713572,20764.999999999985,116012.81066221531,116020.06052644891,1815.89
384,Estrada de Nazaré Paulista,26859,26859,81696.999999999971,15322.416367484182,21870.859995492858,12355.14,111320.25417698023,115787.22285167522,1215.48
385,Água Azul,9943,9943,29591.000000000007,9437.811732203616,5642.817233236374,3314.3333333333294,28849.983836831132,28218.178945701755,3389.29
386,Vasconcelândia,,0,-,-,0,0,-,-,5829.8
387,Arujazinho,1392,1392,4200.9999999999982,766.37590663921605,5039.351325610223,1020.7999999999996,9422.1278278297814,9422.1278278297814,4190.39
388,Arujá,26285,26285,77189,17373.78179632737,42407.92100750291,14193.900000000003,137974.12739878462,137907.28179808034,3193.71
389,Fazenda Velha,2385,2385,7383.0000000000027,501.90971868606499,5552.57117907624,2226,11399.121285545749,11471.118244068308,2249.46
390,Santa Isabel,16593,16593,43142.000000000051,11318.668623400312,16366.949908027607,10619.519999999997,73834.663331700925,73775.630937917784,3989.66
391,Jaguari,4262,4262,10940.000000000004,390.03335601386027,3482.778924202358,2983.400000000008,9946.8544539392806,9946.8544539392806,14249.94
392,Barroca Funda,,0,-,-,186.409514289405,0,220.19514801059745,220.19514801059745,11313.68
393,Monte Negro,,0,-,-,310.497346627156,0,631.84702103114387,631.84702103114387,6861.59
394,Ferraz de Vasconcelos,30406,30881.09375,83937.000000000015,19399.552791916314,27325.74507592368,18528.65625,150358.88207335558,150590.26949949146,991.01
395,Paiol Velho,,0,-,-,348.737659258332,0,411.94431941944208,411.94431941944208,1027.08
396,Santos Dumont,35476,36573.19587628866,99385.000000000175,20790.282798576685,24506.927893164477,15360.742268041247,146083.94818122676,145510.95905146928,945.21
397,Jardim São José,7097,7236.156862745098,21510.999999999975,4048.4007907783221,3259.4309699130167,4731.33333333333,33380.14956076433,33469.641767482091,407.85
398,Poá,28870,28870,83968.000000000015,18575.724350638022,39832.54281781068,19557.096774193575,176126.28376246578,175939.7256498296,1322.41
399,Itaquaquecetuba,34330,34729.186046511626,102397.00000000001,21244.899623892325,34551.4867023918,19560.11627906977,160210.81996844799,163475.73584003028,1132.92
400,Quinta da Boa Vista,22504,22504,66598.999999999884,19550.902929049218,26780.724378534687,9001.6,138759.02728769823,138242.2751288109,1419.81
401,Bonsucesso,41546,41546,125662.99999999993,19178.857967828455,34768.922839567684,24274.06741573035,164371.89278518601,164775.00990776133,3075.76
402,Pinheirinho,26645,27274.409448818897,83119,15273.814491490637,20518.642297184007,14056.811023622033,108762.31863582479,107250.52972535788,2650.99
403,Miguel Badra,39187,39508.20491803278,116934.99999999977,24527.335704516358,31932.03448678116,20725.615694705662,189947.89620867273,190123.68506433672,3270.75
404,Suzano,54304,54760.33613445378,154025.99999999994,46204.922105163008,68888.61783422362,37419.56302521009,362749.81497743912,361965.43668008491,3452.13
405,Guaió,8819,9145.62962962963,26147.999999999989,7895.693538528777,9356.369626971004,7022.537037037042,44025.682111001144,44151.088224674997,8721.28
406,Ouro Fino,5989,6199.140350877194,17595.000000000004,1884.0875998542938,5062.172847803058,3677.4561403508583,23797.177598472143,24509.200873452781,5222.79
407,Mogi das Cruzes,30460,30460,81669.999999999825,31319.368036165684,44102.13917347779,21417.1875,162424.13142982509,161232.93291177484,1358.15
408,Estudantes,16324,16324,39902,19138.036164984464,29548.39252997384,10327.428571428563,80866.153384322432,80797.63068000057,995.8
409,Vila Oliveira,13018,13018,36114.999999999971,20875.624119893782,23035.5430928686,10070.528301886796,67089.104748394617,66044.307137025331,2914.74
410,Brás Cubas,42286,42286,122895.00000000003,18344.06298918301,39568.44201101895,18857.27027027025,145700.08949264899,145978.39560442057,2147.95
