destination_zone,destination_industry_work,commerce_work,services_work,education,shopping,health,leisure,home,job_search,personal_business,meal,total
1,1896.685456606151,7519.226690650677,47829.43540345278,5773.325081696572,3376.003222891942,948.607168775731,1314.482444364084,3777.3606630674017,782.9941750245606,10106.108028183216,7160.701768763216,90484.93010347633
2,671.8047192561035,28575.640362366463,21392.394271294943,1706.121153155632,19745.499144926616,830.7456979777545,732.0687229782488,4384.015057110151,0,2983.3982097301896,2049.5326855898024,83071.2200243859
3,750.1721664609349,587.0191305931228,19642.28317805906,4364.362198544189,2942.804694667874,357.6363395925351,804.4961192445975,15476.668131482047,0,2926.421302831999,1093.2163055682877,48945.07956704466
4,435.29892556910767,3474.7858550855008,20906.837087935102,3122.6200631221413,902.4038125307826,228.68008943830927,4607.681764805438,26733.808160686272,0,1847.26480461578,2305.289273076713,64564.66983686514
5,4089.3904351701826,14967.77218642425,67709.71330287433,3414.169507932464,3032.3356012176414,2251.372882812047,3618.019690478848,12031.30528241322,1358.073213074104,8407.051582693975,4956.944341243743,125836.14802633482
6,30.23989844297947,15210.99109775842,22906.581267762376,1103.9426851647736,2255.4975442562986,2408.2286111623353,953.2158996672508,19140.3971377999,129.89154918835274,2453.3576423432105,1708.326304024587,68300.66963757048
7,3446.5550638773457,11048.336578174214,20211.80691055964,5421.849853592558,3153.3974993185516,0,1992.59441732941,12394.296693735812,936.3336935247727,3050.549040803065,1636.614961218805,63292.33471213418
8,1973.0978799559575,2131.4941273248605,4156.336065120859,7490.31649037781,637.4841416826902,0,743.2889071666361,11147.222871094256,0,438.5858956096917,294.84344466129915,29012.669822994063
9,1899.9528547637535,423.3262836409746,10880.645877880062,8710.21826197007,70.34375576372773,710.6881418353894,489.73271093643774,5721.347590921761,0,1177.5794771433705,0,30083.83495485555
10,741.541747588553,4251.901204308752,5818.298039099793,6717.666306254807,427.14421548090127,96.48026105068016,750.5975152597268,1909.202372635288,0,34.85786423184161,25.83363304210693,20773.523158952456
11,775.4766274369144,2551.4371842985897,213.92869357257933,2279.4886359150582,0,0,0,4854.433779381619,0,44.7069962633259,0,10719.471916868088
12,2226.0366046075997,13273.532976357752,9865.421482734604,3910.348781176815,1644.366718400483,889.2386045742521,49.30449197047496,11403.471111617597,0,1071.3793194589894,1138.08854304064,45471.18863393921
13,108.6584359095122,19983.469158692173,1733.0234163206578,459.62792538683846,6502.783053049236,0,0,802.5733225363404,0,1136.2318422312385,0,30726.367154125994
14,1860.4368998018213,15730.859989040442,6953.756529437525,5690.395356119585,11170.080969748687,225.3188427695958,289.0252288403274,1849.1510138425497,254.37999687701213,1390.5218549270269,361.2855042115016,45775.212185616074
15,1497.406112123264,5197.88293910608,5953.55580534192,916.1579927493765,2674.9332897651307,541.2077766988898,203.41715082011737,6788.287837399104,0,1838.7107213143731,0,25611.559625318256
16,6680.616318485436,4078.0649192707792,8996.580635509903,4457.085454279581,1832.288560497736,224.0797609142598,904.9932581431258,22004.757107739904,376.0698994220023,1182.015025388812,0,50736.55093965154
