residence_zone,employed,casual_worker,medical_leave,retired,unemployed,never_worked,homemaker,student,total
1,2181.3288981074775,11.930649426976199,0,374.88716983868323,254.30993851872495,277.69615045548102,127.3229503379372,372.52424331472218,3600.0000000000027
2,2441.0181098157414,0,0,450.04795306227146,162.15881295009339,193.03418721974799,327.48694349888939,671.25399345325729,4245.000000000001
3,8864.8884506848681,793.36583388583847,176.29507139117499,2055.8858246053355,1108.8588355088214,1219.4320570864579,0,2360.273926837519,16579.000000000015
4,14509.962087846972,1165.3956383450511,0,4225.0537237583112,1406.9527686624801,214.41600777221501,651.01100703610496,2733.2087665788654,24905.999999999996
5,11192.586381289073,0,0,2106.3103333507474,220.91638317888331,302.05834648284502,711.4883425823673,565.64021311608803,15099.000000000004
6,12898.058150284378,1287.7074461858565,0,3562.6946310793805,1237.637556879592,493.07994528481402,0,2744.8222702859812,22224.000000000004
7,8017.5868241876979,499.9337503535204,0,2142.2470846596061,1160.1159591056,1254.9986107387249,866.95924404666198,907.15852690819099,14849.000000000004
8,5120.2483620042667,799.09207658969399,33.515191537381099,1254.9556143396458,469.15367603636315,1420.5947194324322,885.89923907358002,1890.5411209866295,11873.999999999993
9,3594.5813092411295,727.03416772239336,0,856.32081118435428,563.96602951734337,436.91512089339102,183.21242666084032,1267.9701347805496,7630.000000000002
10,882.22872294815465,205.28050272202793,0,354.86776685233508,105.0061847163964,188.24147955460597,118.51911719156045,279.8562260149202,2134.000000000001
11,2269.9187598262256,20.572286664426599,0,589.34713221594029,328.27056294795955,341.49529971871709,152.75446975797661,642.64148886875614,4345.000000000002
12,6394.5256330285538,0,62.415148517029202,1097.6525111544788,549.98504940462101,609.252207514573,555.39122510287928,2041.7782252778745,11311.000000000013
13,487.55220209054573,26.699556329581839,0,62.479799525867286,16.227015953925108,50.618152306235601,19.94528964098329,146.47798415286144,810.0000000000005
14,1139.3145402623152,30.9525641683339,11.7007814771114,99.899964089673276,39.005027445749661,153.8398399425437,14.040937772533701,211.24634484173828,1699.999999999999
15,4277.0711122324046,542.59676484951308,52.5070382341816,1418.379018326606,226.52854960046091,743.56867685471525,223.50611260565529,1107.8427272964648,8592.000000000004
