residence_zone,age_0_3,age_4_6,age_7_10,age_11_14,age_15_17,age_18_22,age_23_29,age_30_39,age_40_49,age_50_59,age_60_plus,total
1,133.29415221863101,199.6032912136352,110.40258595357039,135.23361739641479,32.280340875697902,197.86952688803979,359.27123126653015,696.44431384072868,718.48369086100524,523.43520423156031,493.68204525418753,3600.000000000001
2,193.03418721974799,222.380600817345,126.99447262824,219.30938797854949,127.27324664595541,277.60195287246779,413.68268871663264,820.94734063834392,703.78903113976446,573.75378630359933,566.23330503935392,4245
3,991.36641540727203,684.196925037558,456.131283358372,928.87095053271901,400.14219564884104,980.70891658514006,1605.943560951137,2837.5383340727012,3325.8630046814687,2476.6869812982031,1891.5514324266021,16579.000000000015
4,0,457.13671881143898,1322.8790409430499,764.43632395294696,0,949.74707421561379,2155.797948424502,4399.0246775253527,5102.8152295148602,4326.013488249173,5428.1494983630655,24906.000000000004
5,302.05834648284502,333.46282536320399,0,0,116.08869387644199,483.57803237766802,1423.664880267844,3076.2998819381341,2255.1100084754053,3079.7582880693185,4028.9790431491438,15099.000000000004
6,493.07994528481402,452.99582437084302,1427.6074135000447,770.84792233774488,46.447498384086103,459.44269334879789,1796.2896082976911,4336.090311074121,4742.4363682974108,3744.0453518295453,3954.7170632749048,22224
7,1254.9986107387249,0,0,907.15852690819099,0,2009.4862102155241,1498.1068457164831,2664.7877025588859,2633.157417177667,1425.5681421388072,2455.7365445457212,14849.000000000004
8,452.05139200449497,766.08228057726387,527.53535260693002,760.65475381225997,405.40213659924132,839.89630132649165,1093.1047475811142,1992.6262358736326,1939.4570914755807,1364.6018673375643,1732.5878408054175,11873.999999999993
9,257.62647609055801,512.94230022732449,372.93017424427973,304.38685406484399,341.35381347211347,404.5900897982055,638.61791789832512,1423.8041555859738,1402.6860611627608,875.97672120546133,1095.0854362501555,7630.000000000002
10,55.825044754650001,152.8987815185609,132.15288188447269,80.959198458655194,54.774754177538192,129.77016934144601,201.4018538837237,375.99842505630437,339.05060294094483,271.67516261293673,339.49312537076804,2134.0000000000005
11,215.40730408272142,212.32535892626862,272.25968097726621,189.51439836320219,111.4927803266858,231.49551528089563,421.52786005914413,770.62126297198006,628.77307204816759,556.86429813622476,734.71846882744478,4345.000000000001
12,0,447.64790432461001,840.25704306830335,929.0908171241764,481.63745290653532,836.01646003648011,862.01182304107283,2246.7258046878655,1863.5325877214905,1419.8915210627742,1384.1885860266959,11311.000000000004
13,25.3090761531178,53.7262844653904,28.417208312272599,49.730114546477097,23.603159460941001,60.061818790178449,65.271640314095151,124.32528636619281,161.14425452241449,113.26806296140728,105.14309410751281,810
14,129.72605550710529,51.018314266659999,67.217719181244703,70.052069973836709,65.233673626429962,60.916739342327901,198.70979325911847,317.2292617862816,313.95885702559883,220.20725388601016,205.7302621453855,1699.999999999999
15,390.4786453364606,91.369734790814604,139.81836008160559,518.16762357058792,340.41457604396021,554.72720798524847,973.935089703828,1324.6998386518048,1843.1571122788937,1172.7907929253072,1242.4410186314929,8592.000000000004
16,0,0,976.82203827795297,1409.4770344775829,767.17724977983607,1267.6466893041159,2287.2548854768406,3340.3187061261824,3439.7082033105826,2821.0546393911313,3102.5405538557752,19412
17,342.72293016328797,436.14459013039851,487.77488801103419,340.0702759050576,351.36465164429131,521.68886352901245,825.16562537810466,1662.266805072733,1652.7500103872039,1155.7618434761434,1423.2895163027356,9199.000000000004
18,1433.542981989845,1083.8337035219149,777.6579732984344,1539.3620441602804,1129.6100105009659,1160.4498166709971,1808.4896235330289,3971.012659101968,4821.8940221340445,3276.9952061573622,5657.1519589311483,26659.999999999993
19,0,224.04121381477401,950.93240357390096,1039.177979239319,408.49408680826002,971.78908361409799,2070.7136690131219,3239.9571853412672,3587.3748235316066,2932.3521026026997,4200.1674524609516,19625
20,614.038817615521,416.38426670073,539.80065403856406,1319.8137968533729,861.47778262460997,1123.830135041941,1713.622099783541,4276.3393646466266,5798.8349806127144,2769.2478374550983,5249.6102646272648,24682.999999999985
21,402.28737881975201,701.41152512724125,635.622525371135,138.22470637305301,281.08208468502721,967.73703969480471,1245.0636377916376,2827.7392915232372,3437.0785703691013,2310.4858452768544,3757.2673949681543,16704
22,388.25748668096458,0,404.61435558135202,385.74969913141797,240.03649069054529,311.68762283872229,1066.2691958214054,2113.1803705282828,2156.4571411291113,1708.465450216939,2636.2821873812532,11410.999999999996
23,236.12123401144351,0,66.660260238174104,0,0,194.66848946722121,462.06028251407474,820.91890166673011,850.12151200112339,603.77458766100244,927.67473244023029,4162
24,559.4809193006023,81.7540613442943,922.47250922654507,155.97447198450701,51.123353677898599,671.65436243343936,701.76856161244336,1833.2884727671594,2042.7644557131687,1228.3756636275209,2488.3431683124209,10737
25,495.21616618436394,490.50685796476296,331.800160430522,956.820806498107,0,445.95567436316367,1144.8466445089964,3392.1520034773976,4099.8250938580277,1651.5050156707775,3737.3715770438753,16745.999999999993
26,0,398.493583986798,341.55148261229198,190.34006453674019,72.078516639996096,568.99936634274297,903.85505333552305,2150.6180676251456,1959.1329586886493,2192.1340927206361,3046.7968135114807,11824.000000000004
27,438.07611815276999,664.28986976421254,559.0401828913391,625.07462928845894,363.14204531084999,475.28769970306161,1059.919339944076,2268.0450549238976,3361.9856117460304,2167.3079338976686,3431.8315143776431,15414.000000000007
28,195.426141401048,346.3569915767427,115.22234926535801,321.95030274781715,185.03353734966279,227.96964831836627,338.88926254516895,1370.9938905630254,1616.1605758863777,1021.5443172288523,1650.4529831175828,7390.000000000002
29,0,0,455.97503925553798,403.8636061977619,90.928560015052696,586.8564876041944,551.05918419670479,2083.3341384448358,2346.1062887466387,1478.2946008737576,2144.582094665514,10140.999999999996
