origin_zone,destination_industry_work,commerce_work,services_work,education,shopping,health,leisure,home,job_search,personal_business,meal,total
1,140.05342323464936,1408.4367630970926,9418.7735187309627,2919.9157483081203,84.40706241877966,988.62012770374918,422.17832666196773,66739.352520377099,78.969451608053589,1906.4730808007985,6247.5331657064553,90354.71318864773
2,544.0492247203033,2823.664007773265,2882.863293474401,1899.7385067209921,626.60578195673804,44.438505553044465,373.38834809970746,69960.660798931814,0,522.69267511103965,3125.2726355990903,82803.3737779404
3,0,3651.2154702676817,6266.5371905611109,5489.3456305564505,258.2220563065344,1227.3759355406353,233.52027898603737,28597.065721883864,0,416.48231926636663,2767.3250469765439,48907.089650345224
4,0,4305.3466464004669,9913.4868735121381,3670.4513317752135,1591.7107032884974,1056.139881527854,2716.8648321524074,30994.282352466147,0,7463.6679374395007,2634.6418959885605,64346.59245455078
5,651.62097732412951,2383.6327436095135,10956.438966975678,2584.4811502290645,1186.2494456188388,0,1458.4296518617339,100028.27792183211,0,1754.4651937237761,3855.3038709295611,124858.8999221044
6,1106.5686103097773,3078.7763129439018,10831.718754179661,3971.5566956282955,664.87107328742286,1432.8183196632381,426.82467919981764,45369.643283028658,0,0,316.8072959504874,67199.58502419127
7,885.67317459315427,1498.748115650279,5952.4083360815866,3891.4205630896181,2204.0445841001842,543.85677976489183,495.50579070912966,44717.933419345238,254.37999687701213,1106.1833419453119,0,61550.1541021564
8,534.9974734739867,2771.1505147615776,2141.4878727053833,5758.4899539114576,591.88945406100822,250.50940683290287,195.09594772765732,16457.660596229198,0,164.11377724065395,187.74236200641283,29053.137358950244
9,213.42444113780311,367.47445176844951,3578.3333055758721,1750.9313345905273,363.17171494273123,34.266164288339503,1110.0103433141444,21857.74249109202,0,172.64626261324463,1743.7160438736917,31191.716553196824
10,103.30244069881017,534.92699279221802,276.24613523002085,1072.6354775493594,33.142128685132398,33.375128402225087,794.3289880829758,17471.935063401994,0,165.50068104794269,0,20485.393035890676
11,96.152071195132692,695.92444423354686,796.94266432030338,1960.8328826075804,289.27535868046101,566.2535445746455,595.54668155502179,5375.5696879566503,0,327.52679291986897,0,10704.024128043213
12,769.32638079388516,1795.4020337177863,3925.7594837504594,4614.0494689090119,701.56369246500515,661.40461027939648,632.48133834173427,29202.305005322043,0,316.03316363348961,682.68799416911168,43301.01317138193
13,0,352.89636336556697,100.26125416815889,811.54396594489845,25.963822977887158,31.657250592104379,62.86697620510914,29339.862365694211,0,41.517739790966303,0,30766.5697387389
14,0,1136.1277012024389,364.62913650555618,935.77149526560152,134.18504642384394,16.091817312007137,102.61563892887773,40865.621466358789,8.0450727003645746,465.045515533713,700.1544517340601,44728.287341965246
15,253.69754066618975,2036.6076454985305,1682.3735299366067,2464.0654637462808,192.84443887552416,480.46132929045285,62.023631678068575,17873.222221689488,0,321.56770339225676,81.197333643966758,25448.060838417365
16,4487.3187621826964,2485.1733604104325,6237.6433532987448,6180.257836961352,951.96471782443791,704.63007491120698,765.78417823418329,27606.484669972971,0,777.8904757233197,15.703639519772931,50212.85106903911
17,143.44502843801931,1977.5515897339317,2373.3631754089333,3162.1292285608497,583.10012266255023,430.86676976297048,145.29988901284065,15089.641273860332,0,149.32612230566764,560.75288642686303,24615.47608617296
18,174.20460637806411,4243.5504797976009,8641.0228693561967,8845.5817063111608,2541.8767225495594,281.79414860369354,1281.548892014933,35218.588539658667,95.368863315193622,3336.764975592243,653.35381976550923,65313.65562334282
19,175.86980284687127,3014.3591061191664,7795.6339768865864,6058.9274215758933,758.02850873862099,392.38495009731264,0,22844.624406294352,0,361.27556362149176,290.62119598494507,41691.72493216524
20,944.92202916616225,1830.1779239013683,11491.799913616238,7284.0241144904876,1481.7475715216319,1839.5693707232192,1199.2788924019087,13385.163572880068,0,1658.0045234314446,0,41114.68791213253
21,514.13532248450247,1139.3993427503701,4955.30676758558,4917.9684316642788,1247.1016485918217,970.62146731840949,235.44372529261454,11294.498112590351,0,501.35781390223048,0,25775.83263218016
22,274.08613252332725,972.91020517248467,4981.893192442174,2031.5199320785669,486.19811709786978,744.78301304070305,281.13699973820678,11489.981111701281,0,418.75777473463518,0,21681.26647852925
23,125.5697081687606,296.85536770611913,1653.9687245700643,1055.7764291049766,120.5410983086512,0,107.90564600305191,38125.785032282394,0,199.02342832030246,543.18599238784407,42228.61142685216
24,348.19796049480999,866.7665209223228,3684.6563106284798,3696.6964334993986,0,1577.2178347143008,470.37468827425926,45008.788758472714,0,457.98081174473703,828.61757636913649,56939.29689512016
25,444.74633820192366,1165.8443748633695,8246.4268835227485,3497.6822917257891,617.75756381954807,883.39049507776883,1668.564370124355,11892.053016096728,0,424.00299180771265,461.08250417607502,29301.550829416017
26,338.04289392750843,255.79716210341758,5037.3851507955951,2806.4244060810843,572.95026356387552,161.0234368136143,84.30944097316609,21302.568428754923,0,906.06758247738594,0,31464.568765490567
27,487.20721591826543,799.65204318085023,6689.143474797811,6163.2733694743138,1052.7917141341616,895.92627458679294,1224.5795383976854,68690.599946179209,0,1871.475986374171,1387.3401761219959,89261.98973916526
28,268.44602677849292,414.13379943698328,5205.9997748330061,2387.5267466661785,614.75514700317251,963.49919773035015,1527.4167795725857,33655.095228217855,0,441.74961592942179,596.83747866399153,46075.45979483205
29,136.1277678242229,632.92461953855218,8432.3468919246679,4405.9280491489017,468.14509893199204,871.16942782542901,1713.4197669199118,78688.316849570299,0,581.36083083527865,3503.0904290892699,99432.82973160852
