destination_zone,industry_work,commerce_work,services_work,education,shopping,health,leisure,job_search,personal_business,meal,total
99,6452.2642397352747,2369.9518620147192,10989.026591245289,3332.0485284133042,1206.0962936568528,625.02011018496739,546.50312429626183,435.37627462221258,3592.1887739692247,616.60242744088805,30165.078225578993
100,5192.0154327812634,20364.817925813692,46587.447926850145,23908.278603865732,8525.0870663900787,12726.841948071498,3704.4404221305658,105.82754668932758,6369.8385250080373,2621.8460505167623,130106.44144811708
101,963.73206698967897,1059.6182150647785,12487.878341661295,8272.1558668892412,624.29672821492636,1107.0322527473859,1402.5163753910635,0,475.33939671482568,0,26392.569243673195
102,925.91149627382754,1775.3770209944541,10993.218113122635,7032.0645582710431,418.51449602128741,2012.7471350687172,953.32444060707928,0,3214.9841577702591,60.664199509151096,27386.805617638453
103,300.33514116654339,629.83352687503213,5480.2944037688321,714.11778198941829,255.11376259507813,761.0355192468196,622.16992606457598,0,454.59738049469047,0,9217.49744220099
104,453.66983687024697,415.81641011045929,3484.1149432790689,4331.9070164268387,417.30383206872375,245.74753929848305,547.30583474230014,0,385.84882985095794,103.81250578112882,10385.526748428205
105,1706.1377966499833,2189.6128956874477,13961.826016668283,6929.6692814510661,1631.7767757493923,891.94855964151532,880.81145150912562,0,420.40299116333529,442.3852534848495,29054.571022005
106,1906.5821653677299,8365.0149577621305,14336.308700968437,1920.4772796932532,2873.4646137920354,84.690445379793061,173.69188408358531,0,731.31488185297758,50.745300906639734,30442.290229806586
107,960.1007652273031,2649.3063574409734,14744.389702390194,19043.981403769612,434.0853960218318,949.29818350168853,1549.8564570397989,0,768.95773249548802,1186.9069825480399,42286.88298043494
108,818.33724246569159,8450.2557692478404,9394.7843304781964,2728.30289742064,1967.1608597223321,269.26754785835379,305.4576560594943,39.875784379226033,315.27524821834925,8.5640200778505395,24297.281355927975
109,9716.5726813546898,10877.072916922027,40647.282912325485,61708.841061349551,8286.3262088540396,15196.598844819473,3308.2415253289714,371.16687594658197,11420.225079659373,0,161532.3281065602
110,5131.4674915468495,5275.3459087046322,39074.222014295781,26804.1219840343,7626.2146151410652,5929.4428873284132,2958.8605465878245,0,4023.066683244735,581.90722282306945,97404.64935370667
111,4803.9298519070235,4225.2056728577109,24742.183907273844,27227.430645022672,2326.4369178061702,3970.3611343791931,1269.9899500903152,0,3760.8469569930403,0,72326.38503632997
112,3739.0658646032002,6622.1554900721585,20425.182380841827,17576.882159118984,1772.6855157881187,3691.9753578884979,1792.6898110748048,0,853.94474678025858,0,56474.581326167856
113,5901.1288243534354,8922.6500454240977,17557.997143337798,17960.04590613777,2891.820069269726,1079.305106969543,2279.0400209090321,0,1679.857920147218,165.97614251404312,58437.82117906266
114,-,-,-,-,-,-,-,-,-,-,0
