work_zone,fixed_address_jobs_outside_home,at_home,no_fixed_address_jobs,total_jobs
1,64630.235461516655,382.21388881468215,905.4519880905528,65917.90133842189
2,49976.861990010024,308.5877282975789,266.22778904265766,50551.67750735026
3,16982.835136931113,765.1892696778026,394.363505403592,18142.387912012506
4,22135.97119221213,1840.5860096689953,927.6273949504139,24904.18459683154
5,80821.30281336264,843.7772887632915,1005.324873101159,82670.40497522708
6,33735.62042400223,2220.132709752141,667.295143341974,36623.04827709634
7,28395.29732925484,1620.3499214526273,1018.7810496890356,31034.4283003965
8,10210.057432768395,1928.181126885454,575.0946539954731,12713.333213649325
9,11759.518399734132,1181.6218075361742,488.0057866112992,13429.145993881604
10,9196.979200880833,391.209849260389,89.20748045757378,9677.396530598795
11,3417.539959951167,162.55841123910153,208.0839313671702,3788.182302557439
12,18950.52159843581,1078.5448518305484,498.2592555110542,20527.325705777417
13,20663.57392524027,97.38976470592638,23.533000633600768,20784.4966905798
14,20879.185892014382,170.51318559468626,28.9975888780588,21078.696666487125
15,14262.229952228245,875.5797106951934,479.2600808694259,15617.069743792865
16,13460.390793606366,923.974011983007,636.4430476913974,15020.80785328077
17,8041.419991891727,878.8789331323194,254.9746831543504,9175.273608178395
18,21923.898815725777,2378.4798984666973,1485.7938689091318,25788.1725831016
19,10932.64917724792,1829.5410616293193,545.3518396896591,13307.5420785669
20,8500.063792346751,1002.103665279365,2700.583745326069,12202.751202952186
21,6115.684555401746,2325.354948265597,415.8914315976274,8856.93093526497
22,5831.746512962778,770.5565467604605,83.1903826463375,6685.493442369576
23,11218.767500857151,828.1176692656596,139.1737265498295,12186.05889667264
24,20112.313833850923,700.5283692432962,668.5925145933235,21481.434717687545
25,7411.636729948058,715.8466365205106,2304.8585183256578,10432.341884794225
26,9628.543612332776,1601.3670615445783,996.2331842868979,12226.143858164252
27,44897.62088257943,1940.5295968376704,1648.2843535126945,48486.4348329298
28,20049.633443476072,906.4950944812747,359.9717142342355,21316.10025219158
29,70245.33054516398,613.3649805422988,882.298813311092,71740.99433901737
30,10371.149158461383,1835.701769614798,503.19420263915146,12710.045130715333
31,24030.767169625644,2285.1977285712737,1134.6650263580027,27450.62992455492
32,51532.49491975598,1024.8096916003717,1367.6907944498162,53924.99540580617
33,935.8181421469367,307.7593333975687,59.8222222222222,1303.3996977667275
34,8546.589952086108,762.8790073666036,335.0096432552956,9644.478602708008
35,43322.1063645978,2687.5379690289587,2404.1932569646497,48413.83759059141
36,27135.136412958625,6516.508449514263,2154.250490684567,35805.89535315745
37,9583.634691794668,1130.3733286387364,624.2789630376433,11338.286983471047
38,3360.7638709523644,584.3454469507097,73.1052631578947,4018.2145810609686
39,9678.8873898529,754.4770860194403,1959.1182400002745,12392.482715872617
40,10700.70924300693,891.8617513147866,551.527557498059,12144.098551819774
41,16112.68690923075,2307.559242006275,621.4808793123519,19041.727030549377
42,5480.289123971201,1197.1318128675653,532.2230502098106,7209.643987048576
43,25852.67641618085,2552.2471432286675,1776.7341349691064,30181.65769437862
44,15517.322959554003,3240.3293273709364,474.6837792433702,19232.336066168307
45,29988.688532475782,4392.885659524323,2873.3437727704572,37254.91796477056
46,12144.59932926054,1037.4794041960558,256.625525441641,13438.704258898237
47,6752.33282043676,916.895179566802,1028.431573665128,8697.65957366869
48,9548.153344593613,2424.959441257158,1361.0892112818738,13334.201997132644
49,15183.257045136184,2457.3219385113225,664.1889781242658,18304.767961771773
50,2666.7478178140964,942.1449106277861,210.7956695879207,3819.688398029803
51,5991.991894389873,2093.467778233775,501.0236950324372,8586.483367656085
52,7863.209254285418,1026.5293200859708,692.4188489046105,9582.157423276
53,18992.76740202278,2475.9941964178515,455.51592254671755,21924.277520987347
54,26688.825978354096,1033.1094912291187,51.754107618012704,27773.68957720123
55,12257.787241660168,2697.6769184795203,927.3951199871792,15882.85928012687
56,16942.779687392,2906.0606776786826,1234.0547510739011,21082.895116144584
57,40896.83701568528,2564.1547437567706,2223.716173646099,45684.707933088146
58,12917.427734161623,3984.1696411658577,870.6191648090112,17772.21654013649
59,22421.10576980756,4489.081178214849,2586.439945475051,29496.626893497458
60,14554.049749956275,1957.019764419992,671.2917536118476,17182.361267988115
61,16844.605879452938,1212.456971700945,123.192538968551,18180.25539012243
62,14977.434786028383,362.2638545216628,93.6774130929401,15433.376053642987
63,14740.5999624774,146.698078902614,10.0015943877551,14897.299635767771
64,36453.15646720353,3897.1000379611783,1804.996791584392,42155.253296749106
65,14072.448357043066,2988.5022596015706,453.5845410628019,17514.53515770744
66,23259.723110447856,648.2960005822788,450.9615478304571,24358.980658860593
67,10616.837586913052,1158.763460149852,547.9182191321282,12323.519266195031
68,74007.3626557908,3942.9048559141265,1392.962707967162,79343.23021967208
69,38782.26497926963,1405.522632091964,879.4971657504666,41067.28477711206
70,21609.35147921347,1415.7521246073595,1621.2889026092591,24646.39250643009
71,22302.75781504984,3813.9203833810593,1673.3113522135882,27789.98955064449
72,25647.533673199217,1796.25048069459,370.4457693504371,27814.22992324425
73,148658.87895939808,2142.7356487712286,2581.6389604171254,153383.25356858643
74,50792.17641185041,1385.3662223593544,165.3163649695168,52342.85899917928
75,12709.704666400585,2160.21007378321,501.7580912796588,15371.672831463453
76,13525.65959582716,1468.6865121311307,273.7130762502784,15268.059184208572
77,40696.36936218289,2564.1231087927667,380.4448578760435,43640.9373288517
78,23633.95479255679,1631.731977655138,480.5463897812182,25746.233159993146
79,43082.37470191699,1420.1897425154789,613.1647672467377,45115.72921167921
80,28067.43118461176,2442.176309080313,527.6586477705432,31037.266141462616
81,44058.882217374034,2302.8392414126583,284.82535505430246,46646.54681384099
82,68944.38588467917,2019.7676830318635,1646.0180346695493,72610.1716023806
83,28275.926725904443,4385.044937575073,1053.560466929683,33714.5321304092
84,12178.36358387242,2722.6774554656995,762.5847154064708,15663.625754744588
85,3544.0365981170344,898.4960803689067,111.2111111111112,4553.7437895970515
86,3153.470452587475,471.50108419314944,93.39390991144086,3718.3654466920657
87,8950.599874488162,2325.2463836528536,471.43725935230736,11747.283517493324
88,17547.390874747933,3313.031623438585,2505.5292753436006,23365.95177353012
89,2565.0568716021853,1513.5253644256618,602.4626465253723,4681.044882553219
90,5954.418151299555,1247.098479568763,350.1924194807385,7551.709050349056
91,25652.93973715111,1041.0572563087974,501.336667479235,27195.333660939144
92,19542.20450126705,210.70947712418308,70.6519607843138,19823.565939175543
93,28738.405134222732,1642.232253100603,491.4391002588007,30872.076487582137
94,18003.881730541423,522.7145238657981,86.63618687233739,18613.232441279557
95,6345.39849067108,1790.9167976395845,867.8103798806294,9004.125668191295
96,10977.844770496711,645.8080645743399,206.7603773920126,11830.413212463063
97,7401.683331214303,2977.2486254520213,588.9372231659094,10967.869179832232
98,6117.49914108031,32.5359055766947,514.26250315933,6664.297549816335
99,24433.200663656604,550.6049411526861,739.7498559866926,25723.555460795986
100,51932.334620150694,1355.0348963637307,1938.4120733998748,55225.781589914295
101,9777.994333978539,1853.7453270767653,430.565009604676,12062.30467065998
102,8790.734042221105,1556.2438352132924,267.7261284396846,10614.704005874082
103,4834.018801792676,329.7665232469021,101.153730818958,5264.939055858536
