origin_zone,public_transport_a,individual_transport_b,motorized_a_b,non_motorized_c,total_a_b_c
195,21338.830548708313,14200.037303284984,35538.867851993295,18880.30995107956,54419.17780307285
196,12334.522519922084,17956.291536662276,30290.81405658436,26054.16942631317,56344.98348289753
197,19924.557902538618,13740.7747290077,33665.33263154632,9388.940124214969,43054.27275576129
198,40578.828553166692,24533.83182583197,65112.66037899866,22875.36782395668,87988.02820295535
199,41181.119947220228,25340.937069636231,66522.05701685646,70204.35608689216,136726.41310374864
200,22014.367014885269,4968.8335077879046,26983.200522673174,21232.810995870233,48216.01151854341
201,32310.304155854847,14048.184450581255,46358.488606436105,60049.92614537642,106408.41475181252
202,38381.956976972571,44499.756200759686,82881.71317773225,44647.115288506735,127528.82846623898
203,26773.561668173807,8273.9360354157634,35047.49770358957,44894.31974417368,79941.81744776327
204,52055.012648117139,33401.753550164467,85456.7661982816,56006.37390901415,141463.14010729577
205,45383.085503323608,19047.463364774325,64430.54886809793,67169.28157931978,131599.8304474177
206,28657.958524144989,22176.514254879785,50834.47277902477,24525.321016870505,75359.79379589527
207,36856.80644268894,32584.357205144843,69441.16364783378,79008.15059579021,148449.314243624
208,34790.681986816475,31293.553248037646,66084.23523485412,14929.43569253432,81013.67092738843
209,21374.202501237021,34956.299256553932,56330.50175779095,12644.859912087311,68975.36166987827
210,30698.782825930972,26296.38558112281,56995.16840705378,5498.9137338309265,62494.08214088471
211,26510.293735407959,33136.268274758128,59646.56201016609,10571.578795104677,70218.14080527077
212,24265.052314667155,18422.212954879225,42687.26526954638,12740.795925861512,55428.061195407885
213,29552.786479997936,30159.448366266264,59712.2348462642,15574.100639699143,75286.33548596334
214,15944.729097195406,17884.886151624414,33829.61524881982,4649.109636157534,38478.72488497735
215,22814.781588978036,22876.496885130869,45691.278474108905,14224.05587325034,59915.33434735925
216,16726.006095254459,23154.524824748903,39880.530920003366,20970.182509099417,60850.71342910278
