residence_zone,income_up_to_2640,income_2640_5280,income_5280_10560,income_10560_15840,income_above_15840,total
1,375.01322362621227,796.78990272143403,2180.8399292450144,207.25830149867761,40.0986429086635,3600.000000000002
2,447.83168055522879,1681.8087250774961,1412.9807048845414,525.43088453129917,176.94800495143562,4245.000000000001
3,6417.7324471845313,7247.1617002214534,2799.9175053822669,0,114.18834721176,16579.00000000001
4,2728.1618771936824,9852.8389948626736,10381.475135075903,1364.1311159263921,579.39287694134896,24906.000000000004
5,590.70811747588698,9241.9623955749084,4212.7611617632137,103.20326838163901,950.36505680435698,15099.000000000007
6,5563.9781185610163,9306.387546864582,6105.4279013339392,975.86718528728215,272.33924795318597,22224.000000000007
7,3239.5252654585779,5586.6041215538153,4281.9605854236306,855.62731584201504,885.28271172196605,14849.000000000004
8,1209.0265678851677,5042.6001409392211,3193.672825459149,1393.5592194646929,1035.1412462517615,11873.999999999993
9,1286.7335589355487,3549.8299873759706,1710.5469890625338,940.77475510465445,142.11470952129341,7630.000000000002
10,345.7160227771858,1233.5826036969183,386.61371828457141,149.91011708831422,18.177538153011028,2134.000000000001
11,358.55069513407409,2533.860189192078,1038.735141795011,413.8539738788383,0,4345.000000000002
12,886.16456709322472,5033.9704154352803,3388.9347427396788,665.30385713951546,1336.6264175923029,11311.000000000002
13,75.946728263203227,360.64540219785658,353.97620119054,7.8287539347132702,11.602914413686982,810.0000000000001
14,225.72039494845109,863.7087061777969,523.6253714194512,86.945527454299821,0,1699.999999999999
15,1419.548394710298,4551.3384392250809,2110.6244528561106,510.48871320851259,0,8592.000000000004
16,972.14302733931504,6214.4121865058778,7905.8246643983866,1825.4946112867667,2494.1255104696493,19411.999999999996
17,2597.2150140135263,4177.470319484929,2369.2425294305112,55.072137071040203,0,9199.000000000005
18,308.98141621871201,12421.841631840467,13128.187313842483,699.77375354532614,101.21588455299501,26659.999999999985
19,2181.6249326341176,5374.1999194755099,7693.9074833036202,1838.1147194299697,2537.1529451567831,19625
20,1130.1674273442129,8941.6759829438197,10482.216633655315,2637.3946802657865,1491.545275790849,24682.999999999985
21,43.771157018133501,2762.4423158202167,4698.8813779931261,4449.9679081462436,4748.9372410222777,16703.999999999996
22,195.44948135313879,2406.8855896772525,5954.6208032376517,1965.3423819920451,888.70174373990244,11410.999999999987
23,288.36107422872311,962.86671627472128,2671.7605505274573,239.01165896909779,0,4161.999999999999
24,2240.4187804619828,3447.5288803937751,3315.4999846357441,940.76972386203306,792.78263064646603,10737.000000000002
25,535.82257276465998,6152.4683026871253,7323.4870305637878,1838.6082690493565,895.61382493506176,16745.999999999993
26,1300.3819761994262,4436.065688691303,4567.4567458276533,967.20695076141681,552.88863852020484,11824.000000000004
27,306.66499680409726,1399.6224858601502,5113.4843293301064,2589.1369789390342,6005.091209066617,15414.000000000004
28,109.08586487586788,259.40128932325456,1805.5708754145933,2332.6115721354859,2883.3303982508,7390.000000000002
29,424.37488761348072,2378.2128116444946,2956.4507758689833,2728.5544039394877,1653.407120933553,10140.999999999998
30,211.19581787534094,1104.5279549436418,5440.2529029747548,2808.3814757480077,7222.6418484582582,16787.000000000004
31,1208.1669411924797,4549.525428975966,5678.5411608941304,5628.3227694562447,5378.4436994811676,22442.999999999985
32,24.806856826989399,635.55624707969685,3001.5165810049493,1288.554880531841,2388.5654345565245,7339.000000000002
33,0,28.201201201201162,353.47955629426224,196.12863612275373,960.19060638178325,1538.0000000000005
34,39.8333333333334,119.795709008241,1333.7109482589028,1751.1597765973743,3220.5002328021537,6465.0000000000055
35,561.39140718971396,20818.83085246956,8880.1273264317224,3537.5468734849487,766.10354042404992,34563.99999999999
36,126.82922327188599,2196.5514531953804,16875.998199162448,9798.4226617122877,10382.198462657976,39379.99999999998
37,381.59883043183817,1710.7163127143926,3649.54173526566,1015.5399218619773,2282.6031997261302,9039.999999999998
38,871.35606381922128,2752.1338610220178,1656.7799164286005,243.73015873015862,0,5523.999999999998
39,1340.6771174380719,6028.5310176888725,2644.6870626031123,3202.104802269957,0,13216.000000000016
40,917.65372618311881,1922.470648494349,4959.7684978876505,337.41662928893993,72.69049814593879,8209.999999999998
41,1108.5448885470068,6206.9941501727071,8216.2603952233821,3812.3256552758262,3965.8749107810781,23310
