destination_zone,public_transport_a,individual_transport_b,motorized_a_b,non_motorized_c,total_a_b_c
278,75039.205340220113,31888.103687687129,106927.30902790723,72352.9105812783,179280.21960918553
279,39122.26888059984,15858.290271906935,54980.559152506765,22685.373338578545,77665.93249108532
280,23885.831990290448,27467.252769357488,51353.084759647936,6774.387604525195,58127.47236417313
281,21067.149778407842,28808.978898611953,49876.12867701979,10393.649378162356,60269.77805518215
282,18716.178871047436,24366.977271015967,43083.1561420634,14266.31240949622,57349.46855155962
283,4784.0069280184771,12382.306598445884,17166.31352646436,5530.779276907001,22697.09280337136
284,34801.755678053443,17098.080719287263,51899.83639734071,16610.514210212757,68510.35060755347
285,41727.607811324437,28107.928973856418,69835.53678518086,27499.335096679508,97334.87188186037
286,23928.808148191256,14586.324971810869,38515.13312000212,3303.7994395604564,41818.93255956258
287,22557.167758146312,24940.716935449618,47497.88469359593,9922.996627347884,57420.881320943816
288,17090.779038933459,23565.679619175415,40656.45865810887,13175.320065188103,53831.77872329698
289,34668.083311982598,33686.088099876099,68354.1714118587,17400.56259865201,85754.7340105107
290,40459.0269879189,17116.805284050119,57575.83227196902,10557.205544771312,68133.03781674033
291,44175.76875827492,24702.270244690455,68878.03900296538,17878.979496654545,86757.01849961992
292,33211.93513569748,17111.031785345971,50322.96692104345,36320.40269002733,86643.36961107078
293,33789.070018904655,18293.468716290416,52082.53873519507,22607.22575980174,74689.76449499681
294,39092.437024624582,17057.667153020557,56150.10417764514,49283.00028652259,105433.10446416771
295,60750.349217378556,22630.182471702174,83380.53168908073,56285.4194532204,139665.95114230114
296,3324.6384769559909,2099.5468884394431,5424.185365395434,2634.970785209792,8059.156150605226
297,3581.5528513812301,3609.814363860402,7191.367215241632,283.83696615063656,7475.204181392269
298,99804.113655999608,30638.135906277836,130442.24956227744,76955.93661086776,207398.1861731452
299,5852.9914624014946,2175.2096541110695,8028.201116512565,858.8794313634411,8887.080547876005
