residence_zone,formal_employee,informal_employee,public_employee,independent_professional,self_employed_registered,self_employed_unregistered,employer,family_business_owner,family_worker,total
1,890.3904881483494,96.4560681751395,108.83284802179892,93.2870061175968,298.27157855368256,704.7344588999011,32.3185424625331,0,0,2224.290990379003
2,650.1243014230694,89.876054055175,22.1728458292954,44.503928091128,561.4150755344774,1043.0205119783775,0,29.9053929042177,0,2441.018109815742
3,5655.345393042508,888.1632881384061,461.439117361416,291.8129388650021,180.7574639749325,2357.031154579616,0,0,0,9834.549355961883
4,8250.038724913242,660.195930084754,968.230990421221,1249.584867414448,2229.873030294737,1740.842654554084,576.59152850954,0,0,15675.357726192024
5,6148.43139917881,1047.8398046268717,247.087460286875,0,2093.046329437611,1131.5770774495472,0,0,0,10667.982070979717
6,5364.51137952263,1242.8052128062966,2174.5408972144787,328.630554866894,785.5072505413768,4236.833555068664,52.9367464498962,0,0,14185.765596470235
7,3687.3925682373174,1289.0992845863927,0,0,1650.473690242667,1469.3465579095612,0,421.208473565281,0,8517.520574541219
8,2231.4756338687225,830.2119826883206,79.7900461120389,0,765.2196609621172,1956.8049352211856,36.5634386744992,52.7899326044563,0,5952.85563013134
9,1635.1094976078066,264.591752032849,23.783187575886,0,694.0424436644549,1744.4641143069737,0,0,0,4361.990995187971
10,391.0418536912306,92.3998036570193,0,9.92034459768063,106.7976027607013,444.1784770819445,15.2138091063244,27.9573347752818,0,1087.5092256701826
11,483.86551952943046,81.0829597067402,11.5832799581058,0,272.0181928285024,1466.7624086638143,0,0,0,2315.312360686593
12,1680.4481088027765,84.474585709437,95.61451548083332,68.1097782249735,2041.9304786376792,2096.653822483993,76.8182275593252,152.2318665163356,160.65939813022482,6456.940781545583
13,131.47465044234028,26.28937757622784,0,0,85.72459002357924,235.37658582855013,19.713467070182812,7.84433354453359,7.82875393471327,514.2517584201277
14,370.7169912031909,202.12693364081025,46.3961422048941,0,224.8216392697744,290.0492565910917,16.7880777715077,12.90719745549684,18.1616477709947,1181.9678859077603
15,2048.99794890033,451.8714419556224,62.9416430333917,189.9287645196396,229.4031199848466,1824.967412948294,0,64.0645839739772,0,4872.174915316101
16,5808.586933516074,155.269097649895,720.6424170046563,0,2916.5879925881627,1713.1571746187385,386.014138806672,280.512728186801,0,11980.770482371
17,1675.0970537925828,215.18306367340728,244.03702656363603,40.9835082896501,517.4843485324049,2272.7828157363106,46.050077922869,80.9593323745686,45.2467026332338,5137.823929518663
18,6117.604826072985,467.91990204599585,294.4821458022214,486.33425126433,1888.1248090095175,3858.011176108968,360.677923635546,0,0,13473.155033939554
19,5350.095858006538,327.687036731896,996.6442721992327,0,1589.6978485986288,1925.3542400345095,401.5734410501669,1007.014251773861,0,11598.066948394837
20,7392.9777734596255,0,326.57783885676497,0,1902.9190974231065,2774.5480273414396,0,240.793989413889,163.80695521149,12801.623681706313
