origin_zone,public_transport_minutes,individual_transport_minutes,walking,bicycle
1,33.760371327370422,18.771618338232553,18.905982905982881,14.848176108590987
2,41.96975877272817,18.206861236440204,8.2167530224525045,13.667724600310766
3,42.195911728214881,30.596574098386281,15.169593609332406,14.13917294508191
4,41.911337264867356,24.55157602323877,0,13.083634271155184
5,39.198795703474495,20.698187917607971,0,8.5648544649322673
6,40.573781236477664,34.029083296099429,13.704177870329861,18.822294823584443
7,40.242377777239888,24.273863077278218,0,15.608354478687996
8,67.788800550652923,33.688003733583294,18.843423332774321,12.172588498194434
9,48.966288224458758,24.835840193783739,16.371731871520272,13.693686955878514
10,44.752195986650833,11.821229854258185,14.78639376042559,12.521175950243139
11,39.008608931563096,19.904358540292147,11.384295983058708,9.4209447679143299
12,41.347946337508951,21.71023168661381,20,10.262432263572187
13,44.059418000563994,17.173203780581904,10,7.3430085342964508
14,50.818153539153229,25.549006203623218,5,10.461031721165396
15,47.265545674008571,16.130158764125742,10,11.204478472339586
16,40.71496980143808,14.341824109153512,0,9.4257073094121839
17,56.150362431804702,27.580544511634393,17.156852646557407,13.908045076558397
18,52.735108369042223,25.695062326301688,0,15.745826370776509
19,39.062012038632723,24.709592320793107,0,9.9528067500191106
20,36.266397256808389,20.173247999715372,0,6.9791302629612053
21,41.67976838917744,21.46950492699829,5,13.089928203840495
22,42.863085264842091,24.497481589003051,0,14.009273530014807
23,32.626743351815939,15.589310666517509,0,11.236185694249871
24,44.776005254663396,28.413802817290197,0,14.014743977838105
25,39.551214265835839,16.434753368802753,7.75,10.593304250757749
26,48.837262354027388,31.571261758555291,19.200468018720752,20.254948254711167
27,37.236770040142126,21.565882628399645,0,15.264091386887596
28,39.965925051871437,24.523755086892248,0,11.900305494448791
29,43.771004617090668,18.181781172844385,0,9.2350652011804044
30,42.909361963320549,24.478620526875464,23.970595066660458,12.988259440942235
31,43.160916754790343,26.926472635510059,10,14.151277452014236
32,40.252311130542978,26.656869576280915,18.172898926323583,12.213626663536395
33,48.572772987193311,22.114180289615803,10,10.086096217497671
34,27.000242355591247,27.425254471914311,0,11.602242661278488
35,35.51818135109248,18.341165544825049,8.5,11.931486366146176
36,45.098956695432086,27.707781639081482,0,13.19302907263809
37,40.67061405491993,20.786237579336415,18.47498105526121,8.4806933081511531
38,34.221118535927417,16.074920819301028,5.0030687040663961,14.884706392321524
39,41.927623487359725,27.763358949423811,0,10.100645616753324
40,41.70812646605399,20.119182735585262,15.208845208845213,10.805138890094344
41,34.792443423588189,30.749923358714607,0,13.283938489197723
42,34.680562289705207,30.18710448123969,14.687391395009385,15.598359254195231
43,41.094289102975388,27.315166471084055,0,11.69685539109943
44,35.626744932848403,28.508722707291732,0,5.6123443299344284
45,46.196025479141667,23.025920503683736,0,10.661473602100852
46,38.558303803587293,20.234863425782635,0,9.7219021901748484
47,40.4258041070036,19.545624461757953,20,10.990733531176014
48,43.560737485356938,24.09086446780903,22.5,8.102364835767732
49,32.068010403295652,25.162922454297192,20,15.107226213508943
50,39.887778224950736,25.170252084189769,20,13.885483195090016
51,36.646287057808131,28.414665781720302,15,10.674010523855793
52,40.570174493056925,28.528452824110811,35,13.087663429463827
53,38.581080976955519,33.680587616227086,5,16.363441060902552
54,32.461045937358747,22.60985699446703,21.309775140297411,14.656451566132596
55,26.440175783032025,31.637384621427188,15.06956942225213,10.287618857388141
56,34.229098392190451,19.214330847540264,15,13.493892350531782
57,32.59433616079734,25.448287825739008,12.5,14.595217291785069
58,43.273018153652785,25.625082856553252,27.5,15.907828170364214
59,40.087053076795492,35.735500716704706,0,12.46923966460804
60,46.654173952039422,25.435109545428052,15,14.802484531912549
61,26.97636640968436,27.889290161562606,0,14.12613529351573
62,33.065867232211446,19.264185668240035,0,13.215785458759012
63,26.923114461276356,23.765578521271273,17.870962466268715,17.022855664732084
64,39.554168235753949,20.431935000715615,21.608121939115211,8.945396768745594
65,47.625861672694235,29.576754651103833,17,10.136201649551131
66,39.105843988478988,22.367984360662991,17.5,10.620905406055821
67,40.714891593611895,22.821519141276408,25.657993027888448,15.26930813925993
68,47.243111921972321,27.000579658170672,14.62540706605223,13.353993111883744
69,62.009513455738968,21.592530980107384,20.083489473098357,9.5127073259445503
70,39.587519530778565,32.17512819880924,15,9.6313621798151665
71,48.02354585501724,26.574402055351154,9.2767584789414688,10.103600917634765
72,35.268701748925494,21.730078853922599,17.5,11.157236688825602
73,42.54927147042465,27.423903131557005,13.53114103305105,8.7204466603965827
74,43.933186178329109,15.555133876947712,30,11.796900340121727
75,39.002733898013673,20.437760942849486,17.127664491134716,14.236240130710151
76,36.060464824899128,26.237277492006491,24.924244563682571,14.099569474767645
77,33.01669265661932,20.493840905227643,25,14.48306830811053
78,26.921582786941826,17.973322355910341,13.697552447552447,10.385380788025895
79,36.838514162780093,26.661962382995601,24.512305876401555,10.151148556672386
80,30.87744891341373,21.600550835142819,18.938701959387558,14.219282847452533
81,30.625762277634731,17.124972444998882,21,11.255672196706488
82,34.50060435035634,26.00329122665001,17.080743220165314,10.459816522623695
83,37.385434529403739,21.042869297429856,25.579808373640592,9.3275611809015597
84,40.157338001815255,26.269615579961247,20,10.965511831693222
85,46.791458079672879,18.699732946024866,30,12.188443591834808
86,38.056953064559195,24.831417990625937,20,14.500878413831266
87,33.567185076289704,22.056487126643653,26.977039065818946,13.80080898746154
88,47.796397700964313,31.565390380318142,30,14.091062689194899
89,38.187874525123405,22.615881002391074,25,18.37474950563659
90,46.19081352243451,25.721790152357062,0,14.118622186273154
91,51.341810197736379,36.178310742938059,28.977885652642936,25.20350101332907
92,45.112895582015213,27.632990120846408,30,10.054123511670218
93,30.440980930553792,22.171754428377092,0,7.5850385159261311
94,37.678776716963554,27.214725813835539,35,9.5975646433037021
95,42.645589107209403,20.916927991456802,15,9.060713020690347
96,51.94532253576326,24.676380498065583,30,12.704119721415831
97,34.310680247718871,21.834705341822865,16.19627087510559,9.7224199930477138
98,42.676074155836282,23.165432216096065,35.902620876638053,15.382264442624678
99,54.95655759985285,20.08348631805147,0,11.262778980301837
100,55.446019134565908,39.487415424286155,35,13.56131766776471
101,51.121639149342755,31.999895617156362,0,12.119580696987963
102,37.095428644215396,29.358183117755747,40,10.287500846367452
103,37.325983161935255,23.567457117505434,25.893536121673005,19.681570550203265
104,37.815494151034493,20.756271220692462,11.756301417819008,11.036680968927223
105,47.679519713076942,33.710032405354738,24.137554585152841,9.2730504079778662
106,45.275959037092171,16.213088664420297,23.94095131988,15.057889725950794
107,40.484634107778575,23.57821786222096,0,8.3135126988752823
108,48.655874875400997,19.927076819700197,0,15.535739267123976
109,57.167153386559974,25.135749797535876,40,17.050849531192064
110,46.242441917194704,33.09095968484219,0,12.862153659185356
111,58.10496936000073,28.68688795053599,0,13.844381506614633
112,55.819453244810035,24.137897502513116,0,13.310461460264619
113,52.55010337494209,28.869868009920996,60,11.746330072313176
114,-,-,-,-
115,46.909672311119017,29.798853085093974,0,11.717286268214327
116,64.388949204315978,39.369615495627095,0,16.958936321370562
117,83.575481128756834,37.065260030282985,0,10.649789825058996
118,71.025881360527606,34.143099474143035,0,10.273295108450441
119,62.206996809682217,26.504452556859174,0,17.186538934063552
120,-,-,-,-
121,76.856021785450793,41.364667113508055,10,12.984353322021093
122,61.954608340104805,48.782980149831985,0,11.118238617252077
123,56.345830856634549,19.227819856610807,0,13.489533094667355
124,59.573144747544667,17.52125212679606,0,16.340432107136298
125,66.527893570069907,31.90266098488588,0,10.861666297182316
126,59.820677038259689,31.678283184526872,22.972428783698987,10.275479111062682
127,46.490075758074703,26.687614038025597,0,15.048570329242077
128,41.205745143913518,23.280409064939388,20,9.2994206695426413
129,46.690812966393239,22.180357635011369,30,11.742218871808847
130,43.085669086142097,24.529634269753807,18.701122725512974,18.197597817161142
131,45.40975326303532,19.631185401009983,31.560022650056624,10.01477828173897
132,-,-,-,-
133,47.955528272811456,41.036829405712936,5,7.4301554900769364
134,41.872661488769758,26.623510769925375,0,8.9187555018591933
